---,Row Name,Name,StarSystemName,PosX,PosY,SpectralType,Luminosity,SubType,PrimarySlot,Cluster,ClusterOverlay,ClusterConstellation
19,19,19,Castor,-40.43,-16.683,K,V,8,1,"(Id="""")",None,None
20,20,20,Saffel,25.586,11.846,K,VI,3,3,"(Id="""")",None,None
21,21,21,Marik,-79.621,-75.28,K,V,0,2,"(Id="""")",None,None
22,22,22,Quentin,46.002,12.361,K,IV,9,7,"(Id="""")",None,None
23,23,23,Tigress,74.697,-29.514,G,V,7,4,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
24,24,24,Dieudonné,-75.224,-25.895,F,V,3,2,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
25,25,25,Nusakan,-34.772,43.29,K,V,0,3,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
26,26,26,Lipton,-33.864,6.414,G,V,5,3,"(Id="""")",None,None
27,27,27,Hall,-13.961,-44.251,K,V,0,3,"(Id="""")",None,None
28,28,28,New Home,7.229,-12.715,G,IV,4,1,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
29,29,29,Summer,-44.468,26.058,M,V,4,1,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
30,30,30,Epsilon Eridani,18.35,-21.248,K,IV,2,4,"(Id="""")",None,None
31,31,31,Nashira,47.655,33.587,K,IV,5,2,"(Id="""")",None,None
32,32,32,Ingress,49.622,-18.661,G,V,6,4,"(Id="""")",None,None
33,33,33,Ko,-18.105,43.9,G,IV,6,2,"(Id="""")",None,None
34,34,34,Cor Caroli,-62.301,15.463,A,VI,0,2,"(Id="""")",None,None
35,35,35,Caph,12.917,-0.564,G,V,5,3,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
36,36,36,Chesterton,115.619,-71.037,G,V,9,5,"(Id="""")",None,None
37,37,37,Kervil,34.119,45.961,K,V,3,2,"(Id="""")",None,None
38,38,38,Cartago,139.836,-10.127,F,V,3,13,"(Id="""")",None,None
39,39,39,Carver V (Liberty 3063+),-5.436,-20.722,M,V,5,5,"(Id="""")",None,None
40,40,40,Asta,4.129,25.543,K,VI,2,2,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
41,41,41,Epsilon Indi,29.203,-15.558,F,V,9,1,"(Id="""")",None,None
42,42,42,Ozawa,84.778,2.798,K,II,5,2,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
43,43,43,Milton,-64.371,2.798,G,V,3,2,"(Id="""")",None,None
44,44,44,Styx,25.844,25.543,F,IV,8,1,"(Id="""")",None,None
45,45,45,Outreach,-3.109,-34.688,K,V,9,2,"(Id="""")",None,None
46,46,46,Edwards,132.086,-32.361,F,V,5,3,"(Id="""")",None,None
47,47,47,Doneval II,198.781,8.744,K,V,3,2,"(Id=""MWFactionAsset:IndustrialMiningCompany"")",None,None
48,48,48,Callison,-62.556,-15.044,G,V,5,2,"(Id="""")",None,None
49,49,49,Keid,3.096,-10.127,G,IV,6,5,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
50,50,50,Imbros III,-2.077,34.077,M,V,5,3,"(Id="""")",None,None
51,51,51,Mallory's World,111.402,5.902,G,Ib,2,6,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
52,52,52,Syrma,-57.92,39.147,F,V,6,4,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
53,53,53,Mizar,-54.548,20.628,A,V,2,6,"(Id="""")",None,None
54,54,54,Altair,8.836,13.754,F,III,7,5,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
55,55,55,Lambrecht,13.435,57.597,G,IV,6,1,"(Id="""")",None,None
56,56,56,Ascella,20.928,74.397,A,VI,4,2,"(Id="""")",None,None
57,57,57,Basalt,66.163,-29,G,IV,4,5,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
58,58,58,Zion,15.246,-83.285,F,III,7,2,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
59,59,59,Telos IV,43.942,40.273,K,IV,7,4,"(Id="""")",None,None
60,60,60,Eltanin,-1.917,99.345,K,IV,5,3,"(Id=""MWFactionAsset:RogueSystems"")",None,None
61,61,61,Rukbat,42.128,108.781,K,IV,9,2,"(Id=""MWFactionAsset:RogueSystems"")",/Game/Campaign/CampaignArcs/Regions/12_3/12_3.12_3,None
62,62,62,McHenry,179.393,-84.574,M,V,7,1,"(Id=""MWFactionAsset:RepairSystem_7"")",None,None
63,63,63,Dyev,5.683,40.797,K,III,8,1,"(Id="""")",None,None
64,64,64,Demeter,91.497,-69.589,M,V,2,3,"(Id=""MWFactionAsset:RepairSystem_5"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneCollision/Safezone_7_5_Blob.Safezone_7_5_Blob,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/Safezone_7_5.Safezone_7_5
65,65,65,Eaton,-80.915,112.658,K,V,0,2,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
66,66,66,Blue Diamond,-41.623,181.415,K,V,2,1,"(Id=""MWFactionAsset:RepairSystem_28"")",None,None
67,67,67,Laiaka,-100.609,54.238,M,V,9,3,"(Id="""")",None,None
68,68,68,Capolla,8.003,-41.409,F,VI,6,6,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
69,69,69,Terra Firma,22.495,-33.623,G,V,8,2,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
70,70,70,Skat,93.311,26.833,F,V,7,3,"(Id=""MWFactionAsset:RepairSystem_8"")",None,None
72,72,72,Fomalhaut,20.928,5.382,A,V,3,3,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
73,73,73,Sheratan,40.84,-21.506,K,V,5,5,"(Id="""")",None,None
74,74,74,Piedmont,79.399,77.759,G,IV,6,2,"(Id="""")",None,None
75,75,75,Bryant,13.177,-13.229,F,IV,5,4,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
76,76,76,Helen,57.454,10.034,M,V,0,5,"(Id="""")",None,None
77,77,77,Muskegon,164.54,-99.254,M,V,4,1,"(Id=""MWFactionAsset:RepairSystem_7"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneCollision/Safezone_7_Blob.Safezone_7_Blob,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/Safezone_7.Safezone_7
78,78,78,Zavijava,-31.803,-0.304,M,V,3,3,"(Id="""")",None,None
79,79,79,Arboris,43.158,-51.489,K,IV,1,5,"(Id="""")",None,None
80,80,80,Yorii,-8.015,21.153,F,V,6,1,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
81,81,81,Hsien,5.683,-54.334,G,V,0,1,"(Id=""MWFactionAsset:StoryCluster1"")",/Game/Campaign/CampaignArcs/Regions/StoryCluster_01/StoryCluster_1_STM.StoryCluster_1_STM,None
82,82,82,Kawich,53.764,-29.514,M,V,0,2,"(Id="""")",None,None
83,83,83,Autumn Wind,-167.512,-87.419,F,V,9,3,"(Id="""")",None,None
84,84,84,Connaught,-54.292,-40.367,M,V,2,3,"(Id="""")",None,None
85,85,85,Graham IV,-23.526,-10.386,G,V,2,4,"(Id="""")",None,None
86,86,86,Moore,5.683,64.061,K,V,5,3,"(Id="""")",None,None
87,87,87,Aldebaran,24.813,-64.414,K,III,5,5,"(Id="""")",None,None
88,88,88,Kessel,-13.136,83.708,G,V,0,2,"(Id=""MWFactionAsset:RogueSystems"")",None,None
89,89,89,Small World,51.693,-7.025,M,V,5,5,"(Id="""")",None,None
90,90,90,Foot Fall,94.601,-109.868,M,III,9,5,"(Id=""MWFactionAsset:A2M1_Cluster"")",/Game/Campaign/CampaignArcs/MetagameObjectives/CampaignClusters/A2M1.A2M1,None
91,91,91,Robinson,232.72,-6.482,G,IV,5,3,"(Id=""MWFactionAsset:IndustrialMiningCompany"")",None,None
92,92,92,Alphecca,-46.79,61.987,A,V,0,2,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
93,93,93,Lyons,-23.01,38.727,F,V,8,2,"(Id="""")",None,None
94,94,94,Wasat,-19.908,-54.593,K,V,6,1,"(Id="""")",None,None
95,95,95,Atria,-16.034,51.65,K,IV,5,5,"(Id="""")",None,None
96,96,96,Alkalurops,-35.935,45.191,A,IV,7,3,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
97,97,97,Junction,134.928,78.787,K,V,7,1,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
98,98,98,Alcor,-74.708,28.904,A,V,5,3,"(Id=""MWFactionAsset:RepairSystem_15"")",None,None
99,99,99,Auldhouse,-51.012,139.198,K,V,1,2,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
100,100,100,Irian,-46.531,-56.396,G,III,5,3,"(Id="""")",None,None
101,101,101,Menkent,-38.289,22.951,K,IV,0,2,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
102,102,102,Devil's Rock,-36.193,-15.302,G,V,1,2,"(Id="""")",None,None
103,103,103,Sadalbari,137.775,42.859,K,VI,0,1,"(Id=""MWFactionAsset:KuritaDavion"")",None,None
104,104,104,New Olympia,-150.168,-130.286,G,V,1,3,"(Id=""MWFactionAsset:RebeliousLyranTerritory"")",None,None
105,105,105,Phecda,-74.451,-1.595,A,V,0,3,"(Id="""")",None,None
106,106,106,Sirius,-2.562,-7.86,A,V,1,6,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
107,107,107,Asuncion,5.167,-101.64,F,V,6,4,"(Id="""")",None,None
108,108,108,Woodstock,44.199,-36.749,G,V,5,4,"(Id="""")",None,None
109,109,109,Stewart,-119.184,-51.936,G,V,8,4,"(Id=""MWFactionAsset:StewartCommonality"")",None,None
110,110,110,Skondia,-31.803,55.527,F,V,6,2,"(Id="""")",None,None
111,111,111,Markab,97.702,22.756,M,IV,2,4,"(Id=""MWFactionAsset:RepairSystem_8"")",None,None
112,112,112,Errai,52.512,3.478,M,IV,6,2,"(Id="""")",None,None
113,113,113,Sarna,55.009,-154.88,F,IV,8,3,"(Id=""MWFactionAsset:TsinghaiCommonality"")",None,None
114,114,114,Gei-Fu,57.639,-199.071,F,II,5,3,"(Id="""")",None,None
115,115,115,Biham,71.853,36.654,A,VI,0,1,"(Id="""")",None,None
116,116,116,Wing,-75.224,-10.9,K,V,8,1,"(Id="""")",None,None
117,117,117,Genoa,39.026,-59.756,M,III,9,4,"(Id="""")",None,None
118,118,118,Hamilton (FWL),-35.677,-81.311,K,V,4,1,"(Id="""")",None,None
119,119,119,Konstance,-20.166,96.371,K,IV,1,4,"(Id="""")",None,None
120,120,120,Quemoy,44.459,-151.496,K,V,1,1,"(Id="""")",None,None
121,121,121,Ruchbah,57.383,-22.794,F,VI,0,1,"(Id="""")",None,None
122,122,122,Hamal,64.875,-43.47,K,III,2,6,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
123,123,123,Yangtze,75.47,-43.928,G,V,6,5,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
124,124,124,Waddesdon,99.128,91.397,F,V,6,4,"(Id="""")",None,None
125,125,125,Algedi,66.07,94.935,A,IV,7,5,"(Id="""")",None,None
126,126,126,Logandale,143.195,-35.976,K,V,7,1,"(Id="""")",None,None
127,127,127,Beten Kaitos,167.162,-112.913,M,V,3,1,"(Id=""MWFactionAsset:RepairSystem_7"")",None,None
128,128,128,Emerson,171.566,-115.567,F,V,7,4,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
129,129,129,Dabih,59.968,83.504,F,IV,0,1,"(Id=""MWFactionAsset:RogueSystems"")",None,None
130,130,130,Kitalpha,112.954,96.428,K,V,9,1,"(Id="""")",None,None
131,131,131,Mariefred,-180.196,25.543,K,V,3,2,"(Id=""MWFactionAsset:RebeliousLyranTerritory"")",None,None
132,132,132,Ashio,73.565,66.743,G,IV,6,3,"(Id="""")",None,None
133,133,133,Homam,146.299,51.907,G,V,2,2,"(Id=""MWFactionAsset:KuritaDavion"")",None,None
134,134,134,Scheat,168.531,41.83,G,IV,0,1,"(Id=""MWFactionAsset:KuritaDavion"")",None,None
135,135,135,Tongatapu,-171.248,-141.356,M,V,9,1,"(Id=""MWFactionAsset:RepairSystem_21"")",None,None
136,136,136,Nathan,-67.217,-49.158,M,V,3,1,"(Id="""")",None,None
137,137,137,Remulac,-73.163,-39.335,F,V,8,3,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
138,138,138,Alrakis,-19.908,81.891,K,V,0,2,"(Id="""")",None,None
139,139,139,Halstead Station,78.057,43.443,M,II,4,3,"(Id="""")",None,None
140,140,140,Royal,222.559,44.416,G,V,2,1,"(Id="""")",None,None
141,141,141,Ideyld,-201.408,-97.499,G,V,7,3,"(Id=""MWFactionAsset:RepairSystem_13"")",None,None
142,142,142,Chertan,-74.708,-15.558,A,V,3,1,"(Id="""")",None,None
143,143,143,Alchiba,-67.732,1.767,F,VI,0,3,"(Id="""")",None,None
144,144,144,Alula Australis,-24.309,-4.696,A,II,7,8,"(Id="""")",None,None
145,145,145,Algol,64.875,-67.773,G,V,5,4,"(Id="""")",None,None
146,146,146,Mara,121.748,8.743,F,V,4,1,"(Id="""")",None,None
147,147,147,Batavia,201.099,-55.363,F,V,1,4,"(Id="""")",None,None
148,148,148,Bandora,13.177,-177.367,F,V,8,3,"(Id="""")",None,None
149,149,149,Kuzuu,23.011,66.624,K,V,6,1,"(Id="""")",None,None
150,150,150,Suzano,15.763,-113.995,F,V,0,4,"(Id="""")",None,None
151,151,151,Masterson,2.76,-185.773,F,V,6,4,"(Id=""MWFactionAsset:RepairSystem_10"")",None,None
152,152,152,Palos,50.695,-124.723,K,VI,7,3,"(Id="""")",None,None
153,153,153,Tikonov,102.838,-42.217,G,V,8,3,"(Id="""")",None,None
154,154,154,Fuentes,-72.905,-145.351,M,V,8,1,"(Id="""")",None,None
155,155,155,Dromini VI,-20.939,66.122,K,IV,8,6,"(Id="""")",None,None
156,156,156,Towne,69.265,7.961,F,IV,8,3,"(Id="""")",None,None
157,157,157,New Hessen,84.005,-57.121,A,V,9,7,"(Id=""MWFactionAsset:RepairSystem_5"")",None,None
158,158,158,Keystone,-125.089,-105.506,F,V,6,2,"(Id="""")",None,None
159,159,159,Nanking,22.742,-51.745,G,V,1,4,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
160,160,160,Bharat,58.927,-41.666,F,III,2,4,"(Id="""")",None,None
161,161,161,New Valencia,219.972,-50.015,G,V,4,4,"(Id="""")",None,None
162,162,162,Sarpsborg,-149.67,32.262,F,V,4,4,"(Id="""")",None,None
163,163,163,Alioth,-58.94,13.908,A,V,0,2,"(Id="""")",None,None
164,164,164,Zosma,-50.158,-10.386,A,V,4,3,"(Id="""")",None,None
165,165,165,Slocum,58.154,-52.26,G,III,7,5,"(Id="""")",None,None
166,166,166,Foochow,88.919,-97.499,F,V,4,4,"(Id="""")",None,None
167,167,167,Chara (Pacifica),-29.214,6.414,G,V,2,3,"(Id="""")",None,None
168,168,168,Liao (Cynthiana 2202-),34.29,-68.578,K,V,8,3,"(Id="""")",None,None
169,169,169,Murchison,74.697,19.855,G,IV,8,3,"(Id=""MWFactionAsset:RepairSystem_8"")",None,None
170,170,170,Sadachbia,80.598,35.873,K,V,4,2,"(Id="""")",None,None
171,171,171,Crossing,253.313,47.262,G,V,4,4,"(Id=""MWFactionAsset:DavionKurita_1"")",None,None
172,172,172,Arganda,-154.824,36.138,K,V,5,1,"(Id=""MWFactionAsset:RebeliousLyranTerritory"")",None,None
173,173,173,Savannah,-79.626,-46.572,G,V,7,3,"(Id=""MWFactionAsset:RepairSystem_27"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneSection2/SafezoneCollision/Safezone8_Collision.Safezone8_Collision,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneSection2/Safezone8.Safezone8
174,174,174,Elgin (Chisholm 2878-),1.54,-50.974,G,V,1,2,"(Id="""")",None,None
175,175,175,Addicks,71.439,-0.696,G,V,2,4,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
176,176,176,Algot,85.816,-82.771,G,IV,2,5,"(Id=""MWFactionAsset:RepairSystem_5"")",None,None
177,177,177,Dubhe,-70.576,-16.073,F,V,0,7,"(Id="""")",None,None
178,178,178,Unukalhai,-46.273,69.75,K,V,2,5,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
179,179,179,Pleione,51.435,-79.668,M,VI,8,3,"(Id="""")",None,None
180,180,180,Shensi,53.764,-92.524,F,V,6,3,"(Id="""")",None,None
181,181,181,Al Na'ir,60.097,31.239,A,III,9,5,"(Id="""")",None,None
182,182,182,Kurhah,104.163,56.365,F,V,2,2,"(Id="""")",None,None
183,183,183,Mirach,108.822,-26.926,M,V,1,7,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
184,184,184,Drusibacken,-123.305,-123.644,G,V,4,2,"(Id="""")",None,None
185,185,185,Skye,-57.009,51.376,G,V,8,4,"(Id=""MWFactionAsset:AgriculturalBelt"")",/Game/Campaign/CampaignArcs/MetagameObjectives/CampaignClusters/A2M3.A2M3,None
186,186,186,Saiph,4.644,-68.03,K,V,2,2,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
187,187,187,Styk,42.128,-97.499,K,IV,2,2,"(Id="""")",None,None
188,188,188,New Sagan,79.871,-177.661,G,V,8,2,"(Id="""")",None,None
189,189,189,Wyatt,-67.26,-8.337,K,V,7,1,"(Id="""")",None,None
190,190,190,Acubens,-52.221,-50.716,M,V,2,1,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
191,191,191,Berenson,-13.703,-71.133,K,V,0,3,"(Id="""")",None,None
192,192,192,Ingersoll,-5.179,-172.21,G,V,2,5,"(Id="""")",None,None
193,193,193,Kaus Media,7.746,80.087,K,V,2,1,"(Id=""MWFactionAsset:RogueSystems"")",None,None
194,194,194,Dieron,12.201,14.909,G,V,3,4,"(Id="""")",None,None
195,195,195,Kestrel,268.309,-46.829,G,IV,8,3,"(Id=""MWFactionAsset:RepairSystem_3"")",None,None
196,196,196,Fletcher (FWL),-67.732,-209.973,G,IV,2,2,"(Id=""MWFactionAsset:MarikLiaoBorder"")",None,None
197,197,197,Alphard (FWL),-65.403,-52.005,M,V,9,1,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
198,198,198,Marcus,-58.94,-15.558,G,IV,1,4,"(Id="""")",None,None
199,199,199,Bernardo,-21.207,-94.595,M,V,4,6,"(Id="""")",None,None
200,200,200,Menkalinan,-0.006,-70.618,G,V,9,2,"(Id="""")",None,None
201,201,201,Aubisson,4.386,146.514,K,V,3,1,"(Id="""")",None,None
202,202,202,Kaus Australis,5.683,83.447,B,IV,9,3,"(Id="""")",None,None
203,203,203,Capella,38.133,-172.157,F,III,6,7,"(Id=""MWFactionAsset:TsinghaiCommonality"")",/Game/Campaign/CampaignArcs/Regions/7_2/7_2_Mesh.7_2_Mesh,None
204,204,204,Shitara,41.613,87.121,K,VI,6,2,"(Id=""MWFactionAsset:RogueSystems"")",None,None
205,205,205,La Blon,-31.803,72.852,G,V,2,3,"(Id="""")",None,None
206,206,206,Zollikofen,-28.959,19.339,G,V,3,1,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
207,207,207,Miaplacidus,-62.556,-56.92,K,V,6,1,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
208,208,208,La Grave,-51.189,247.068,K,V,2,2,"(Id=""MWFactionAsset:SteinerBorder"")",/Game/Campaign/CampaignArcs/Regions/12_1/12_1.12_1,None
209,209,209,Kurragin,3.354,-203.233,M,V,3,1,"(Id=""MWFactionAsset:RepairSystem_10"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneCollision/Safezone_9_Blob.Safezone_9_Blob,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/Safezone_9.Safezone_9
210,210,210,Rio,95.382,-28.74,F,V,8,4,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
211,211,211,Sonnia,123.553,-41.932,G,V,6,3,"(Id=""MWFactionAsset:ShippingRoute"")",None,None
212,212,212,Goshen,134.673,-94.653,F,V,3,9,"(Id=""MWFactionAsset:ShippingRoute"")",None,None
213,213,213,Yed Prior,-62.042,124.024,F,III,0,5,"(Id="""")",None,None
214,214,214,Pollux,-31.545,-15.558,G,V,4,3,"(Id="""")",None,None
215,215,215,Accrington,-10.088,144.968,K,V,4,1,"(Id="""")",None,None
216,216,216,Tybalt,89.951,-20.467,G,V,3,3,"(Id=""MWFactionAsset:DavionBorderlands"")",/Game/Campaign/CampaignArcs/Regions/6_2/6_2_Mesh.6_2_Mesh,None
217,217,217,St. Ives,109.619,-214.379,G,V,8,3,"(Id="""")",None,None
218,218,218,Asellus Australis,-100.013,-113.832,K,V,2,2,"(Id="""")",None,None
219,219,219,Ronel,95.64,-2.635,F,IV,2,5,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
220,220,220,Clovis,180.166,3.056,M,V,5,1,"(Id="""")",None,None
221,221,221,Alhena,-82.471,-14.518,A,VI,5,2,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
222,222,222,Kochab,-68.245,62.502,K,IV,4,4,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
223,223,223,Alexandria (LC),-57.639,115.993,M,V,4,3,"(Id="""")",None,None
224,224,224,Gan Singh,41.613,-79.668,F,VII,5,4,"(Id="""")",None,None
225,225,225,Azha,53.764,-51.489,K,IV,8,4,"(Id="""")",None,None
226,226,226,Ibstock,-20.985,-101.91,G,V,4,2,"(Id="""")",None,None
227,227,227,Athenry,17.569,30.974,F,IV,8,1,"(Id="""")",None,None
228,228,228,Tallmadge,276.059,41.83,G,V,0,3,"(Id="""")",None,None
229,229,229,Aur,-146.796,134.372,M,V,8,1,"(Id="""")",None,None
230,230,230,Zaniah,-102.597,7.74,A,IV,3,3,"(Id="""")",None,None
231,231,231,Kyrkbacken,3.417,-94.298,G,V,2,2,"(Id="""")",None,None
232,232,232,Shimonoseki,212.478,248.364,K,V,8,1,"(Id="""")",None,None
233,233,233,Lucianca,-96.94,163.323,G,V,9,3,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
234,234,234,Izar,-59.981,97.402,B,VI,5,1,"(Id="""")",None,None
235,235,235,New Wessex,-12.415,113.43,K,IV,2,3,"(Id="""")",None,None
236,236,236,Kaus Borealis,11.373,96.371,K,IV,1,4,"(Id="""")",None,None
237,237,237,Cylene,105.978,25.03,F,V,9,2,"(Id="""")",None,None
238,238,238,Tannil,122.004,57.341,G,V,8,3,"(Id="""")",None,None
239,239,239,Cadiz (TC),328.076,-424.041,F,V,8,2,"(Id="""")",None,None
240,240,240,Talitha,-34.132,-34.688,G,V,1,2,"(Id="""")",None,None
241,241,241,Hean,74.697,-14.518,K,V,1,3,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
242,242,242,Marlette,154.576,-44.511,K,V,2,3,"(Id="""")",None,None
243,243,243,Exeter,188.432,-8.057,A,V,9,7,"(Id=""MWFactionAsset:IndustrialMiningCompany"")",None,None
244,244,244,Futuna,-209.634,-190.845,G,V,4,2,"(Id="""")",None,None
245,245,245,Seginus,-82.36,62.765,A,V,7,3,"(Id="""")",None,None
246,246,246,Sulafat,48.334,184.257,K,V,2,2,"(Id="""")",None,None
247,247,247,Caselton,115.467,-32.666,K,IV,2,2,"(Id="""")",None,None
248,248,248,Avellaneda,-57.652,-82.243,K,V,8,1,"(Id="""")",None,None
249,249,249,Chamdo,10.332,-152.286,M,V,8,1,"(Id="""")",None,None
250,250,250,Olancha,167.241,-6.51,G,V,9,2,"(Id=""MWFactionAsset:KuritaDavion"")",None,None
251,251,251,Kalidasa,-105.763,-23.051,G,Ia,1,4,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
252,252,252,Morningside,-35.677,167.973,K,V,7,1,"(Id="""")",None,None
253,253,253,Sian,7.152,-229.662,G,III,0,2,"(Id="""")",None,None
254,254,254,Awano,95.899,160.994,G,V,5,3,"(Id="""")",None,None
255,255,255,Apostica,-59.712,155.306,F,V,6,3,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
256,256,256,Nopah,57.123,-33.649,G,IV,6,7,"(Id="""")",None,None
257,257,257,Ares,95.382,-173.994,M,IV,1,8,"(Id=""MWFactionAsset:RashpurOwensInc"")",None,None
258,258,258,Mira,103.393,-52.004,G,III,6,4,"(Id="""")",None,None
259,259,259,Oceana,-96.423,-108.084,K,V,0,2,"(Id="""")",None,None
260,260,260,Wei,63.844,-119.184,G,IV,3,3,"(Id="""")",None,None
261,261,261,Coriscana,-187.928,-109.174,K,V,4,1,"(Id=""MWFactionAsset:RepairSystem_13"")",None,None
262,262,262,Hyde,-162.356,2.54,G,V,9,2,"(Id=""MWFactionAsset:SteinerMarikBorder"")",None,None
263,263,263,Cumbres,-154.031,201.831,G,V,7,2,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
264,264,264,Ningpo,54.279,-66.743,G,III,2,4,"(Id="""")",None,None
265,265,265,Marduk,208.335,59.926,G,III,8,4,"(Id=""MWFactionAsset:RepairSystem_4"")",None,None
266,266,266,Kirkenlaard,-159.978,-121.76,M,V,4,1,"(Id="""")",None,None
267,267,267,Summit,-116.865,209.591,M,V,5,1,"(Id="""")",None,None
