,Name,StarSystemName,PosX,PosY,SpectralType,Luminosity,SubType,PrimarySlot
42,46.0,Edwards,132.086,-32.361,F,V,5,3
43,48.0,Callison,-62.556,-15.044,G,V,5,2
44,49.0,Keid,3.096,-10.127,G,IV,6,5
45,51.0,Mallory's World,111.402,5.902,G,Ib,2,6
46,52.0,Syrma,-57.92,39.147,F,V,6,4
47,53.0,Mizar,-54.548,20.628,A,V,2,6
48,54.0,Altair,8.836,13.754,F,III,7,5
49,55.0,Lambrecht,13.435,57.597,G,IV,6,1
50,56.0,Ascella,20.928,74.397,A,VI,4,2
51,57.0,Basalt,66.163,-29,G,IV,4,5
52,58.0,Zion,15.246,-83.285,F,III,7,2
53,60.0,Eltanin,-1.917,99.345,K,IV,5,3
54,61.0,Rukbat,42.128,108.781,K,IV,9,2
55,62.0,McHenry,179.393,-84.574,M,V,7,1
56,63.0,Dyev,5.683,40.797,K,III,8,1
57,64.0,Demeter,91.497,-69.589,M,V,2,3
58,65.0,Eaton,-80.915,112.658,K,V,0,2
59,66.0,Blue Diamond,-41.623,181.415,K,V,2,1
60,67.0,Laiaka,-100.609,54.238,M,V,9,3
61,68.0,Capolla,8.003,-41.409,F,VI,6,6
62,69.0,Terra Firma,22.495,-33.623,G,V,8,2
63,70.0,Skat,93.311,26.833,F,V,7,3
64,72.0,Fomalhaut,20.928,5.382,A,V,3,3
65,73.0,Sheratan,40.84,-21.506,K,V,5,5
66,74.0,Piedmont,79.399,77.759,G,IV,6,2
67,75.0,Bryant,13.177,-13.229,F,IV,5,4
68,76.0,Helen,57.454,10.034,M,V,0,5
69,77.0,Muskegon,164.54,-99.254,M,V,4,1
70,78.0,Zavijava,-31.803,-0.304,M,V,3,3
71,79.0,Arboris,43.158,-51.489,K,IV,1,5
72,80.0,Yorii,-8.015,21.153,F,V,6,1
73,81.0,Hsien,5.683,-54.334,G,V,0,1
74,82.0,Kawich,53.764,-29.514,M,V,0,2
75,83.0,Autumn Wind,-167.512,-87.419,F,V,9,3
76,84.0,Connaught,-54.292,-40.367,M,V,2,3
77,86.0,Moore,5.683,64.061,K,V,5,3
78,87.0,Aldebaran,24.813,-64.414,K,III,5,5
79,88.0,Kessel,-13.136,83.708,G,V,0,2
80,89.0,Small World,51.693,-7.025,M,V,5,5
81,90.0,Foot Fall,94.601,-109.868,M,III,9,5
82,91.0,Robinson,232.72,-6.482,G,IV,5,3
83,92.0,Alphecca,-46.79,61.987,A,V,0,2
84,93.0,Lyons,-23.01,38.727,F,V,8,2
85,94.0,Wasat,-19.908,-54.593,K,V,6,1
86,95.0,Atria,-16.034,51.65,K,IV,5,5
87,96.0,Alkalurops,-35.935,45.191,A,IV,7,3
88,97.0,Junction,134.928,78.787,K,V,7,1
89,98.0,Alcor,-74.708,28.904,A,V,5,3
90,99.0,Auldhouse,-51.012,139.198,K,V,1,2
91,100.0,Irian,-46.531,-56.396,G,III,5,3
92,101.0,Menkent,-38.289,22.951,K,IV,0,2
93,102.0,Devil's Rock,-36.193,-15.302,G,V,1,2
94,103.0,Sadalbari,137.775,42.859,K,VI,0,1
95,104.0,New Olympia,-150.168,-130.286,G,V,1,3
96,105.0,Phecda,-74.451,-1.595,A,V,0,3
97,106.0,Sirius,-2.562,-7.86,A,V,1,6
98,107.0,Asuncion,5.167,-101.64,F,V,6,4
99,108.0,Woodstock,44.199,-36.749,G,V,5,4
100,109.0,Stewart,-119.184,-51.936,G,V,8,4
101,110.0,Skondia,-31.803,55.527,F,V,6,2
102,111.0,Markab,97.702,22.756,M,IV,2,4
103,112.0,Errai,52.512,3.478,M,IV,6,2
104,113.0,Sarna,55.009,-154.88,F,IV,8,3
105,114.0,Gei-Fu,57.639,-199.071,F,II,5,3
106,115.0,Biham,71.853,36.654,A,VI,0,1
107,116.0,Wing,-75.224,-10.9,K,V,8,1
108,117.0,Genoa,39.026,-59.756,M,III,9,4
109,118.0,Hamilton (FWL),-35.677,-81.311,K,V,4,1
110,119.0,Konstance,-20.166,96.371,K,IV,1,4
111,120.0,Quemoy,44.459,-151.496,K,V,1,1
112,121.0,Ruchbah,57.383,-22.794,F,VI,0,1
113,122.0,Hamal,64.875,-43.47,K,III,2,6
114,123.0,Yangtze,75.47,-43.928,G,V,6,5
115,124.0,Waddesdon,99.128,91.397,F,V,6,4
116,125.0,Algedi,66.07,94.935,A,IV,7,5
117,126.0,Logandale,143.195,-35.976,K,V,7,1
118,127.0,Beten Kaitos,167.162,-112.913,M,V,3,1
119,128.0,Emerson,171.566,-115.567,F,V,7,4
120,129.0,Dabih,59.968,83.504,F,IV,0,1
121,130.0,Kitalpha,112.954,96.428,K,V,9,1
122,131.0,Mariefred,-180.196,25.543,K,V,3,2
123,132.0,Ashio,73.565,66.743,G,IV,6,3
124,133.0,Homam,146.299,51.907,G,V,2,2
125,134.0,Scheat,168.531,41.83,G,IV,0,1
126,135.0,Tongatapu,-171.248,-141.356,M,V,9,1
127,136.0,Nathan,-67.217,-49.158,M,V,3,1
128,137.0,Remulac,-73.163,-39.335,F,V,8,3
129,138.0,Alrakis,-19.908,81.891,K,V,0,2
130,139.0,Halstead Station,78.057,43.443,M,II,4,3
131,140.0,Royal,222.559,44.416,G,V,2,1
132,141.0,Ideyld,-201.408,-97.499,G,V,7,3
133,142.0,Chertan,-74.708,-15.558,A,V,3,1
134,143.0,Alchiba,-67.732,1.767,F,VI,0,3
135,144.0,Alula Australis,-24.309,-4.696,A,II,7,8
136,145.0,Algol,64.875,-67.773,G,V,5,4
137,146.0,Mara,121.748,8.743,F,V,4,1
138,147.0,Batavia,201.099,-55.363,F,V,1,4
139,148.0,Bandora,13.177,-177.367,F,V,8,3
140,149.0,Kuzuu,23.011,66.624,K,V,6,1
141,150.0,Suzano,15.763,-113.995,F,V,0,4
142,151.0,Masterson,2.76,-185.773,F,V,6,4
143,152.0,Palos,50.695,-124.723,K,VI,7,3
144,153.0,Tikonov,102.838,-42.217,G,V,8,3
145,154.0,Fuentes,-72.905,-145.351,M,V,8,1
146,156.0,Towne,69.265,7.961,F,IV,8,3
147,157.0,New Hessen,84.005,-57.121,A,V,9,7
148,158.0,Keystone,-125.089,-105.506,F,V,6,2
149,159.0,Nanking,22.742,-51.745,G,V,1,4
150,160.0,Bharat,58.927,-41.666,F,III,2,4
151,161.0,New Valencia,219.972,-50.015,G,V,4,4
152,162.0,Sarpsborg,-149.67,32.262,F,V,4,4
153,163.0,Alioth,-58.94,13.908,A,V,0,2
154,164.0,Zosma,-50.158,-10.386,A,V,4,3
155,165.0,Slocum,58.154,-52.26,G,III,7,5
156,166.0,Foochow,88.919,-97.499,F,V,4,4
157,169.0,Murchison,74.697,19.855,G,IV,8,3
158,170.0,Sadachbia,80.598,35.873,K,V,4,2
159,171.0,Crossing,253.313,47.262,G,V,4,4
160,172.0,Arganda,-154.824,36.138,K,V,5,1
161,173.0,Savannah,-79.626,-46.572,G,V,7,3
162,175.0,Addicks,71.439,-0.696,G,V,2,4
163,176.0,Algot,85.816,-82.771,G,IV,2,5
164,177.0,Dubhe,-70.576,-16.073,F,V,0,7
165,178.0,Unukalhai,-46.273,69.75,K,V,2,5
166,179.0,Pleione,51.435,-79.668,M,VI,8,3
167,180.0,Shensi,53.764,-92.524,F,V,6,3
168,181.0,Al Na'ir,60.097,31.239,A,III,9,5
169,182.0,Kurhah,104.163,56.365,F,V,2,2
170,183.0,Mirach,108.822,-26.926,M,V,1,7
171,184.0,Drusibacken,-123.305,-123.644,G,V,4,2
172,185.0,Skye,-57.009,51.376,G,V,8,4
173,186.0,Saiph,4.644,-68.03,K,V,2,2
174,187.0,Styk,42.128,-97.499,K,IV,2,2
175,188.0,New Sagan,79.871,-177.661,G,V,8,2
176,189.0,Wyatt,-67.26,-8.337,K,V,7,1
177,190.0,Acubens,-52.221,-50.716,M,V,2,1
178,191.0,Berenson,-13.703,-71.133,K,V,0,3
179,192.0,Ingersoll,-5.179,-172.21,G,V,2,5
180,193.0,Kaus Media,7.746,80.087,K,V,2,1
181,194.0,Dieron,12.201,14.909,G,V,3,4
182,195.0,Kestrel,268.309,-46.829,G,IV,8,3
183,196.0,Fletcher (FWL),-67.732,-209.973,G,IV,2,2
184,198.0,Marcus,-58.94,-15.558,G,IV,1,4
185,199.0,Bernardo,-21.207,-94.595,M,V,4,6
186,200.0,Menkalinan,-0.006,-70.618,G,V,9,2
187,201.0,Aubisson,4.386,146.514,K,V,3,1
188,202.0,Kaus Australis,5.683,83.447,B,IV,9,3
189,203.0,Capella,38.133,-172.157,F,III,6,7
190,204.0,Shitara,41.613,87.121,K,VI,6,2
191,205.0,La Blon,-31.803,72.852,G,V,2,3
192,206.0,Zollikofen,-28.959,19.339,G,V,3,1
193,207.0,Miaplacidus,-62.556,-56.92,K,V,6,1
194,208.0,La Grave,-51.189,247.068,K,V,2,2
195,209.0,Kurragin,3.354,-203.233,M,V,3,1
196,210.0,Rio,95.382,-28.74,F,V,8,4
197,211.0,Sonnia,123.553,-41.932,G,V,6,3
198,212.0,Goshen,134.673,-94.653,F,V,3,9
199,213.0,Yed Prior,-62.042,124.024,F,III,0,5
200,214.0,Pollux,-31.545,-15.558,G,V,4,3
201,215.0,Accrington,-10.088,144.968,K,V,4,1
202,216.0,Tybalt,89.951,-20.467,G,V,3,3
203,217.0,St. Ives,109.619,-214.379,G,V,8,3
204,218.0,Asellus Australis,-100.013,-113.832,K,V,2,2
205,219.0,Ronel,95.64,-2.635,F,IV,2,5
206,220.0,Clovis,180.166,3.056,M,V,5,1
207,221.0,Alhena,-82.471,-14.518,A,VI,5,2
208,222.0,Kochab,-68.245,62.502,K,IV,4,4
209,224.0,Gan Singh,41.613,-79.668,F,VII,5,4
210,225.0,Azha,53.764,-51.489,K,IV,8,4
211,226.0,Ibstock,-20.985,-101.91,G,V,4,2
212,227.0,Athenry,17.569,30.974,F,IV,8,1
213,228.0,Tallmadge,276.059,41.83,G,V,0,3
214,229.0,Aur,-146.796,134.372,M,V,8,1
215,230.0,Zaniah,-102.597,7.74,A,IV,3,3
216,231.0,Kyrkbacken,3.417,-94.298,G,V,2,2
217,232.0,Shimonoseki,212.478,248.364,K,V,8,1
218,233.0,Lucianca,-96.94,163.323,G,V,9,3
219,234.0,Izar,-59.981,97.402,B,VI,5,1
220,235.0,New Wessex,-12.415,113.43,K,IV,2,3
221,236.0,Kaus Borealis,11.373,96.371,K,IV,1,4
222,237.0,Cylene,105.978,25.03,F,V,9,2
223,238.0,Tannil,122.004,57.341,G,V,8,3
224,239.0,Cadiz (TC),328.076,-424.041,F,V,8,2
225,240.0,Talitha,-34.132,-34.688,G,V,1,2
226,241.0,Hean,74.697,-14.518,K,V,1,3
227,242.0,Marlette,154.576,-44.511,K,V,2,3
228,243.0,Exeter,188.432,-8.057,A,V,9,7
229,244.0,Futuna,-209.634,-190.845,G,V,4,2
230,245.0,Seginus,-82.36,62.765,A,V,7,3
231,246.0,Sulafat,48.334,184.257,K,V,2,2
232,247.0,Caselton,115.467,-32.666,K,IV,2,2
233,248.0,Avellaneda,-57.652,-82.243,K,V,8,1
234,249.0,Chamdo,10.332,-152.286,M,V,8,1
235,250.0,Olancha,167.241,-6.51,G,V,9,2
236,251.0,Kalidasa,-105.763,-23.051,G,Ia,1,4
237,252.0,Morningside,-35.677,167.973,K,V,7,1
238,253.0,Sian,7.152,-229.662,G,III,0,2
239,254.0,Awano,95.899,160.994,G,V,5,3
240,255.0,Apostica,-59.712,155.306,F,V,6,3
241,256.0,Nopah,57.123,-33.649,G,IV,6,7
242,257.0,Ares,95.382,-173.994,M,IV,1,8
243,258.0,Mira,103.393,-52.004,G,III,6,4
244,259.0,Oceana,-96.423,-108.084,K,V,0,2
245,260.0,Wei,63.844,-119.184,G,IV,3,3
246,261.0,Coriscana,-187.928,-109.174,K,V,4,1
247,262.0,Hyde,-162.356,2.54,G,V,9,2
248,263.0,Cumbres,-154.031,201.831,G,V,7,2
249,264.0,Ningpo,54.279,-66.743,G,III,2,4
250,265.0,Marduk,208.335,59.926,G,III,8,4
251,266.0,Kirkenlaard,-159.978,-121.76,M,V,4,1
252,267.0,Summit,-116.865,209.591,M,V,5,1
253,268.0,Orestes,-26.121,167.591,A,V,7,3
254,269.0,New Canton,8.269,-72.946,F,V,2,3
255,270.0,Alya,26.359,96.629,G,VI,2,2
256,271.0,Tsitsang,51.95,-108.578,G,II,3,3
257,272.0,Ancha,75.47,36.138,G,VI,3,1
258,273.0,Argyle,255.384,-109.174,K,IV,3,3
259,274.0,Togwotee,-196.45,-48.902,F,V,0,4
260,275.0,Gacrux,-86.503,10.72,M,III,4,3
261,276.0,Carnwath,-63.082,82.416,K,IV,5,3
262,278.0,Scudder,196.192,-95.949,F,V,7,2
263,279.0,Solaris,-122.316,-7.025,K,V,1,7
264,280.0,Breukelen,-88.149,141.349,G,V,9,2
265,281.0,Jasmine,-31.03,-202.145,G,V,7,2
266,282.0,Hagiwawa,123.552,112.142,G,V,2,3
267,283.0,Augustine,-43.697,-76.821,G,II,4,6
268,285.0,Minnacora,77.285,-170.624,M,V,3,1
269,286.0,Ludwig,162.067,76.984,M,V,8,1
270,287.0,New Avalon,266.497,-110.836,G,V,5,4
271,288.0,Ellengurg,-297.549,259.478,K,V,0,2
272,289.0,Buchlau,70.048,-68.804,F,II,5,3
273,290.0,Almach,100.804,-61.569,K,V,4,2
274,291.0,Wroxeter,166.47,-58.981,M,V,9,1
275,292.0,Mundrabilla,-247.892,-108.382,G,V,0,3
276,293.0,Gallery,-198.236,108.266,M,V,5,1
277,295.0,New Exford,-137.281,243.193,K,V,9,1
278,296.0,Trent,-131.829,58.113,F,V,1,3
279,297.0,Indicass,72.368,-249.026,A,V,7,5
280,298.0,Menkar,90.726,-92.066,M,III,2,4
281,300.0,Schedar,117.863,-21.246,G,III,2,2
282,301.0,Talcott,199.811,-123.844,G,V,8,3
283,302.0,Shaul Khala,219.456,133.331,M,V,3,1
284,303.0,Coloma,283.383,-87.36,K,V,2,1
285,304.0,Glengarry,-76.782,76.984,K,IV,1,3
286,305.0,Preston (CC),13.177,-214.037,F,V,6,3
287,306.0,Achernar,77.285,-32.361,F,V,8,2
288,307.0,Sutama,90.726,123.766,K,V,7,1
289,308.0,Elbar,126.654,-8.057,K,V,3,1
290,309.0,David,140.085,19.234,F,IV,8,2
291,310.0,Olafsvik,-176.532,-239.114,G,V,7,3
292,311.0,Alkaid,-94.096,47.002,B,V,1,2
293,312.0,Park Place,-29.471,-110.958,F,V,2,4
294,314.0,Rochester,226.948,3.056,G,III,4,5
295,315.0,Kyeinnisan,-100.805,-150.505,M,V,3,1
296,316.0,Franklin,250.736,10.805,F,V,8,3
297,317.0,Forkas,-211.229,159.967,K,V,7,1
298,318.0,Hollabrunn,-208.346,33.295,K,V,7,1
299,320.0,Turinge,-160.572,96.887,M,V,6,1
300,321.0,Washburn,-155.32,-103.721,F,V,3,2
301,322.0,Eidsfoss,-153.536,58.886,M,V,9,1
302,323.0,Koniz,-92.549,259.733,G,V,4,2
303,324.0,Oriente,-76.278,-211.423,F,III,2,4
304,325.0,Holt,-49.375,-102.928,G,V,2,3
305,326.0,New Delos,-38.009,-140.692,G,III,8,4
306,327.0,Baxter,-31.288,112.658,K,II,7,4
307,328.0,Eom,-18.038,-191.788,G,V,6,3
308,329.0,Hunan,71.209,-95.949,F,VII,9,4
309,330.0,Arkab,77.285,200.8,K,V,6,1
310,331.0,Truth,78.315,-159.326,G,IV,1,6
311,332.0,Kajikazawa,88.409,142.617,G,IV,5,4
312,333.0,Raman,161.553,9.261,K,V,2,2
313,334.0,Monongahela,164.91,-165.769,G,V,0,3
314,335.0,Barstow,170.602,-40.891,K,V,6,1
315,336.0,Lucerne,231.864,12.361,K,V,6,1
316,337.0,Plymouth,344.044,-68.804,F,V,0,3
317,338.0,Goubellat,351.289,165.129,F,V,9,4
318,339.0,Giausar,-207.85,-26.411,M,III,0,3
319,340.0,Laureles,-186.055,-126.204,F,V,5,3
320,342.0,Dayr Khuna,-113.791,-196.495,G,V,8,3
321,343.0,Kockengen,-111.711,150.398,G,V,3,3
322,344.0,Asellus Borealis,-100.609,-118.192,K,V,2,1
323,345.0,Carsphairn,-96.168,38.985,K,V,1,3
324,346.0,Nekkar,-93.579,96.371,F,V,8,3
325,347.0,Bordon,-63.082,-33.391,K,V,0,3
326,349.0,Kashilla,-1.551,-201.153,M,V,1,4
327,350.0,Altenmarkt,13.692,223.805,G,V,0,3
328,351.0,Caldrea,33.853,193.307,K,V,4,1
329,352.0,St. Andre,65.648,-100.649,K,III,7,5
330,353.0,Zaurak,72.719,-123.292,G,V,3,2
331,354.0,Necromo,102.876,-188.465,M,V,5,10
332,355.0,Perkasie,130.788,-143.764,F,V,2,4
333,356.0,Tawas,135.703,-55.877,K,V,7,1
334,357.0,Helsingfors,143.712,152.719,G,V,8,2
335,358.0,Wappingers,175.25,-231.186,M,V,8,1
336,359.0,Smolensk,178.352,-129.79,G,V,2,3
337,360.0,Ljugarn,197.997,120.407,G,V,1,3
338,361.0,Cholame,202.397,-31.328,F,V,2,4
339,362.0,Dobson,204.201,26.318,F,V,7,4
340,363.0,Freisland,234.966,-118.688,F,V,6,3
341,364.0,Kawabe,240.646,135.661,M,V,5,1
342,366.0,Waunakee,317.42,14.949,K,V,1,2
343,367.0,Wallis,-198.832,-193.619,M,V,5,6
344,368.0,Alma Alta,-183.568,186.071,F,V,6,4
345,369.0,Aristotle,-183.568,65.091,K,V,2,2
346,370.0,Morges,-141.416,283.196,G,V,6,3
347,371.0,Symington,-38.521,147.812,F,V,5,4
348,372.0,Bentley,-6.984,-233.761,G,V,2,3
349,373.0,Fletcher (CC),46.777,-23.569,G,V,4,7
350,374.0,Shipka,80.12,-110.657,K,III,9,5
351,375.0,Goderich,144.496,-49.416,G,V,4,3
352,376.0,Monistrol,159.481,123.509,G,V,9,2
353,377.0,Paris,191.792,47.517,K,V,1,2
354,378.0,Peabody,330.604,-23.569,M,V,7,1
355,379.0,Pingree,-201.608,-64.927,G,V,1,4
356,380.0,Aitutaki,-164.636,-166.561,K,II,8,3
357,381.0,Colinas,-157.399,107.998,G,V,8,3
358,382.0,Rasalas,-150.76,-93.88,K,V,3,1
359,383.0,Mesa Verde,-136.495,116.537,G,V,8,2
360,384.0,Svinngarn,-131.829,110.841,K,V,6,1
361,385.0,Caledonia,-121.025,37.179,K,V,8,1
362,386.0,Kiyev,-88.149,-171.715,G,V,1,3
363,387.0,Najha,35.666,211.136,G,V,2,2
364,388.0,Harloc,41.87,-224.443,F,V,0,5
365,389.0,Tinaca,70.577,273.723,G,V,5,3
366,390.0,Kanowit,87.196,241.534,F,V,6,4
367,391.0,Lee,116.831,-148.126,F,V,4,4
368,392.0,Sanilac,147.338,-58.981,K,V,9,1
369,394.0,Salem,206.788,-161.11,F,V,8,7
370,395.0,Agematsu,253.838,185.545,F,V,9,2
371,396.0,Streator,254.095,-75.782,F,V,2,4
372,398.0,Graceland,-100.609,246.035,K,V,6,1
373,399.0,Pandora,-84.553,234.789,B,V,7,7
374,400.0,Daneshmand,-72.122,-181.031,M,V,9,1
375,401.0,Denbar,69.007,-235.248,M,IV,2,8
376,402.0,St. Loris,89.951,-241.987,G,V,8,2
377,403.0,Tsingtao,93.311,-155.163,K,V,3,2
378,406.0,Flushing,195.41,-64.671,G,V,8,2
379,407.0,Arlington,212.736,99.733,K,V,2,2
380,408.0,Odell,250.477,-97.499,K,V,1,2
381,409.0,Hachiman,252.799,152.204,G,IV,8,4
382,410.0,Sodus,287.179,-65.186,G,V,5,3
383,411.0,Nakaojo,287.181,183.226,F,V,8,3
384,412.0,An Ting,301.652,109.811,G,V,1,3
385,413.0,Huan,304.753,98.175,K,V,7,1
386,414.0,Susulatna,305.011,-185.691,F,V,5,3
387,415.0,Gibson,-245.811,-215.127,G,V,2,3
388,416.0,Midkiff,-198.534,-111.95,K,V,7,1
389,417.0,McAffe,-181.188,-45.284,F,V,2,4
390,418.0,Pherkad,-142.138,170.817,M,V,3,1
391,419.0,Jaumegarde,-140.651,98.175,G,V,8,2
392,420.0,Lyndon,-127.475,196.156,M,V,1,1
393,421.0,Antares,-124.891,297.734,F,V,5,2
394,422.0,Kelenfold,-57.392,198.214,F,V,2,4
395,424.0,Cronulla,-33.091,-251.008,K,V,3,2
396,425.0,Sakhalin (LC),-24.041,151.687,G,V,6,2
397,426.0,Ulan Bator,35.922,-139.402,F,V,1,4
398,427.0,Brighton,79.087,-200.359,F,III,9,4
399,428.0,Jonathan,100.547,-93.105,F,V,4,4
400,429.0,Cyrenaica,156.561,273.932,M,V,6,1
401,430.0,Proserpina,158.215,34.295,K,V,2,4
402,431.0,Saginaw,299.59,-95.693,K,V,6,1
403,432.0,Dixie,-253.841,-21.246,M,V,9,1
404,433.0,Kitzingen,-223.115,47.002,K,V,9,1
405,434.0,Manihiki,-207.356,-168.048,M,V,5,1
406,435.0,Bjornlunda,-149.967,88.354,M,V,1,1
407,436.0,Uhuru,-139.065,-12.459,F,V,5,3
408,437.0,Al Hillah,-25.374,178.71,F,V,3,3
409,438.0,Ohrensen,-16.29,-121.76,F,II,7,2
410,439.0,Alnasi,2.838,116.017,K,III,0,2
411,440.0,Port Moseby,3.354,160.222,F,V,9,4
412,441.0,Geifer,37.535,-186.266,G,V,9,3
413,442.0,Milos,57.639,-225.235,G,V,7,2
414,443.0,Aix-la-Chapelle,76.599,162.627,A,V,2,4
415,444.0,Cammal,111.4,-164.975,F,V,3,4
416,445.0,Safe Port,134.415,-286.986,F,V,3,3
417,446.0,Ogilvie,195.764,-232.045,F,V,9,3
418,447.0,Koumi,199.294,170.817,F,V,5,4
419,448.0,Corydon,216.61,-38.822,M,V,3,1
420,449.0,Gandy's Luck,250.211,93.012,K,V,3,2
421,450.0,Larned,294.417,-23.051,K,V,0,3
422,451.0,Cosenza,325.957,161.51,K,V,9,1
423,452.0,Soilihull,-188.224,46.219,F,V,0,4
424,453.0,Regulus,-152.066,-180.024,K,III,6,4
425,454.0,Furillo,-137.266,78.255,K,V,3,2
426,455.0,Jouques,-110.619,-211.757,K,V,2,2
427,456.0,Kirkcaldy,-96.423,127.126,K,V,9,1
428,458.0,Lungdo,-82.728,-121.76,K,V,0,2
429,459.0,Gram,54.279,144.452,F,V,7,4
430,460.0,Odabasi,71.079,213.725,F,V,0,4
431,461.0,Saaremaa,138.806,136.951,G,V,4,1
432,462.0,Tamsalu,167.499,164.51,K,V,9,1
433,463.0,Rosamond,178.611,-33.649,G,V,9,3
434,464.0,Tiskilwa,213.768,-90.261,G,V,0,3
435,465.0,Harrow's Sun,261.847,71.038,G,V,1,2
436,466.0,Sylvester,363.43,-114.526,G,V,6,2
437,467.0,Wedgefield,371.449,-162.597,M,V,4,1
438,468.0,Bremond,388.248,58.63,F,V,6,4
439,469.0,Smolnik,-253.345,110.841,G,V,0,3
440,470.0,Trinidad,-226.98,-172.21,G,V,6,3
441,471.0,Keeling,-173.754,-217.409,G,V,8,3
442,472.0,Harmony,-141.639,-170.624,G,V,8,4
443,473.0,Muscida,-139.559,-182.321,G,V,9,2
444,474.0,Lamon,-132.325,33.295,M,V,3,1
445,475.0,Laurieston,-106.555,93.527,M,V,4,1
446,476.0,Abadan,-70.319,-95.949,G,V,2,5
447,477.0,Maestu,-35.361,288.914,G,V,5,1
448,478.0,Boardwalk,-13.703,-197.583,G,V,5,3
449,479.0,Lothan,-9.837,220.706,G,V,7,2
450,480.0,Ovan,30.493,-205.809,M,V,6,2
451,481.0,Weekapaug,107.785,-225.435,M,V,6,1
452,482.0,Stein's Folly,159.739,-200.359,K,V,3,1
453,483.0,Narellan,170.602,-253.882,M,V,5,1
454,484.0,Valmiera,188.947,132.044,F,V,6,3
455,485.0,Tripoli,199.553,52.938,K,V,2,2
456,486.0,Marlowe's Rift,234.711,87.839,F,V,2,4
457,487.0,Lima,235.741,53.979,G,V,4,3
458,488.0,Saunemin,246.078,-56.394,F,V,6,2
459,489.0,Hoff,264.176,36.654,G,III,4,4
460,490.0,Remagen,275.802,-156.154,M,V,4,1
461,491.0,Dnepropetrovsk,299.331,168.746,G,V,6,2
462,492.0,Fincastle,323.11,-163.191,K,V,9,1
463,493.0,Rowe,333.189,48.035,M,V,7,1
464,494.0,Gambier,381.787,-60.022,K,V,2,2
465,495.0,Norfolk,-221.827,-179.941,M,V,0,5
466,496.0,Thermopolis,-215.382,-58.208,M,V,4,1
467,499.0,Avior,-116.865,-163.191,G,V,9,3
468,500.0,Elektrougli,-113.194,-184.105,G,V,1,4
469,501.0,Garrison,-103.187,180.382,F,V,1,4
470,502.0,Carstairs,-77.04,139.279,G,V,4,2
471,503.0,Vanra,-48.342,-163.191,G,II,5,4
472,504.0,Bithinia,-18.878,-178.455,K,V,8,2
473,505.0,Ventabren,3.354,-123.346,G,V,2,1
474,506.0,Dehgolan,5.425,198.997,M,V,8,1
475,507.0,Fukuroi,110.627,134.115,F,V,0,4
476,508.0,Valexa,113.805,-86.807,G,V,6,1
477,509.0,Umijiri,123.809,106.452,K,V,1,2
478,510.0,Axton,127.169,-113.236,K,V,2,3
479,511.0,Breed,195.41,39.755,K,VII,7,5
480,512.0,DeWitt,257.715,-21.763,G,V,9,2
481,513.0,Misery,274.256,84.992,F,V,2,4
482,515.0,Nockatunga,-289.027,-54.076,F,V,2,4
