,StarSystemName,PosX,PosY,SpectralType,Luminosity,SubType,PrimarySlot
72,Alexandrian Covenant,-126.584,-785.92,K,V,6,1
73,Alfirk,588.602,454.172,K,V,4,1
74,Algate,323.626,378.128,K,V,4,1
75,Algedi,66.07,94.935,A,IV,7,5
76,Algenib,-438.602,-379.179,K,V,4,1
77,Algol,64.875,-67.773,G,V,5,4
78,Algorab,-114.838,13.767,A,VI,1,5
79,Algot,85.816,-82.771,G,IV,2,5
80,Alhena,-82.471,-14.518,A,VI,5,2
81,Alioth,-58.94,13.908,A,V,0,2
82,Alkaid,-94.096,47.002,B,V,1,2
83,Alkalurops,-35.935,45.191,A,IV,7,3
84,Alkes,-114.781,-30.813,G,V,1,3
85,Alktral,724.382,250.53,K,V,9,1
86,All Dawn,-459.307,154.018,F,V,3,3
87,Alleghe,-9.837,406.051,G,V,3,3
88,Allerton,263.404,7.187,K,V,2,2
89,Alma Alta,-183.568,186.071,F,V,6,4
90,Almach,100.804,-61.569,K,V,4,2
91,Almunge,163.624,396.997,G,V,0,4
92,Alnadal,157.309,20.188,F,V,6,4
93,Alnasi,2.838,116.017,K,III,0,2
94,Alorton,-353.648,-85.871,K,V,4,1
95,Alphard (FWL),-65.403,-52.005,M,V,9,1
96,Alphard (MH),-406.23,-298.444,G,IV,3,4
97,Alphecca,-46.79,61.987,A,V,0,2
98,Alpheratz,502.785,152.898,K,V,5,4
99,Alrakis,-19.908,81.891,K,V,0,2
100,Alrescha,84.52,-49.416,A,V,3,3
101,Alsek,315.617,-238.123,F,V,0,3
102,Alshain,58.344,278.846,F,IV,8,5
103,Alta,-191.246,-218.099,F,V,3,3
104,Alta Vista,506.635,12.881,M,V,5,1
105,Altair,8.836,13.754,F,III,7,5
106,Altais,37.222,109.811,F,IV,2,1
107,Altdorf,333.189,119.374,F,V,5,3
108,Altenmarkt,13.692,223.805,G,V,0,3
109,Alterf,-203.986,-154.867,F,V,8,4
110,Althastan,-432.453,-26.15,G,V,1,4
111,Althea's Choice,380.171,-340.187,G,V,1,3
112,Alto,106.484,-194.18,F,V,0,4
113,Altona,283.553,421.581,M,V,6,1
114,Altoona (FS),550.569,-4.176,K,V,7,1
115,Altoona (LC),-256.607,-6.274,F,V,4,3
116,Altorra,-2.852,-263.495,G,V,3,4
117,Alula Australis,-24.309,-4.696,A,II,7,8
118,Alula Borealis,-258.995,-54.076,F,V,5,4
119,Alya,26.359,96.629,G,VI,2,2
120,Alyina,-134.91,340.912,G,V,2,3
121,Ambatomainty,701.409,175.022,M,V,7,1
122,Amber,281.994,-377.916,G,V,8,3
123,Amber Grove,272.879,-362.394,K,V,1,1
124,Ambergrist,83.482,-257.545,M,V,1,1
125,Ambrose,-226.176,427.523,K,V,4,1
126,Amiga,165.17,-84.574,K,V,9,1
127,Amity,-128.955,-30.813,M,V,2,2
128,Amminadav,-411.245,199.515,M,V,8,1
129,Ammon,624.274,213.175,K,V,1,2
130,Amu Darya,33.408,-338.234,F,V,1,3
131,An Ting,301.652,109.811,G,V,1,3
132,Anaea,141.276,-115.621,K,V,8,1
133,Anaheim,299.331,-311.764,G,V,3,3
134,Anatolia (Pillory 3130+),-432.787,276.444,M,V,6,1
135,Ancha,75.47,36.138,G,VI,3,1
136,Andalusia,391.342,-109.169,G,V,0,4
137,Andarmax,-3.375,-386.492,M,V,6,1
138,Andelys,455.043,-58.519,F,V,7,4
139,Andiron (Helbrent 3025-),-424.484,-47.393,K,V,4,1
140,Andro,144.745,-173,M,V,3,1
141,Andurien,-41.335,-315.245,G,V,0,5
142,Anegasaki,-49.375,-216.713,M,V,9,1
143,Anembo,-288.729,314.793,G,V,8,3
144,Angell II,-98.231,-84.059,G,V,5,2
145,Angelsey,124.219,-88.218,G,V,0,3
146,Anglia,994.46,204.918,F,V,7,4
147,Angol,87.88,-38.822,M,VI,0,3
148,Angra,390.616,-361.187,M,V,6,1
149,Anguilla,411.779,79.279,K,V,3,2
150,Anjin Muerto,586.511,-78.111,M,V,9,1
151,Ankaa,74.697,-9.356,A,III,8,1
152,Anklan,-862.507,780.81,F,V,8,3
153,Ankolika,-217.169,-221.273,K,V,4,1
154,Annapolis,164.654,130.745,G,V,2,2
155,Annunziata,-240.171,358.742,G,V,5,2
156,Annwyn,-297.183,71.295,G,V,3,3
157,Antallos (Port Krin),463.228,281.417,K,IV,4,3
158,Antares,-124.891,297.734,F,V,5,2
159,Antias,-33.238,-385.416,F,V,7,3
160,Antietam,330.86,-137.026,G,V,0,4
161,Antipolo,-94.87,-268.848,G,V,0,4
162,Antwerp,-669.491,870.414,G,V,7,5
163,Anywhere,-167.214,436.029,G,V,1,4
164,Aodh,-40.211,-195.324,K,V,3,1
165,Aomen,-18.813,-323.119,G,V,9,1
166,Aosia,112.622,-141.194,F,V,7,4
167,Apinzel,-447.893,113.685,G,V,3,2
168,Apolakkia,-116.375,340.389,F,V,6,4
169,Apollo,-129.641,432.458,G,V,7,3
170,Apostica,-59.712,155.306,F,V,6,3
171,Appian,44.177,-466.73,F,V,6,4
172,Apriki,173.189,121.448,F,V,0,3
173,Apsalar,-121.355,562.115,F,V,9,3
174,Aquagea,-56.903,-402.982,G,V,1,3
175,Aquavita,-296.538,59.907,G,V,9,3
176,Aquileia,-88.444,-27.883,K,V,7,1
177,Aragon,-667.891,1127.933,M,V,7,1
178,Arboris,43.158,-51.489,K,IV,1,5
179,Arc-Royal,-170.389,226.576,G,V,3,4
180,Arcadia (Clan),-115.655,1608.8,G,V,7,1
181,Arcadia (FS),253.738,-88.601,M,V,3,1
182,Arcadia (LC),-186.342,-8.057,F,V,6,3
183,Arcturus,-78.068,174.436,K,III,2,5
184,Ardoz,46.26,245.78,F,V,7,3
185,Ares,95.382,-173.994,M,IV,1,8
186,Arganda,-154.824,36.138,K,V,5,1
187,Argondale,-943.157,-574.845,M,V,4,1
188,Argos,177.463,-484.335,F,V,6,4
189,Argyle,255.384,-109.174,K,IV,3,3
190,Ariel,-115.773,-98.529,K,V,9,1
191,Aristotle,-183.568,65.091,K,V,2,2
192,Arkab,77.285,200.8,K,V,6,1
193,Arlanda,-300.534,380.651,G,V,7,1
194,Arlington,212.736,99.733,K,V,2,2
195,Arluna,-281.493,333.921,M,V,9,1
196,Armaxa,106.484,-205.806,M,V,7,1
197,Armington,420.819,-303.736,K,V,7,1
198,Armstrong,-488.302,12.607,G,V,8,2
199,Arn (Jia Tian 3130+),-29.949,-419.973,F,V,6,4
200,Arnaudville,583.659,36.658,F,V,6,3
201,Arromanches,431.227,36.681,M,V,6,1
202,Artru,165.999,-469.811,G,V,6,3
203,Arundel,595.209,-121.347,M,V,7,1
204,As Samik,346.889,-286.69,K,V,4,1
205,Ascella,20.928,74.397,A,VI,4,2
206,Asellus Australis,-100.013,-113.832,K,V,2,2
207,Asellus Borealis,-100.609,-118.192,K,V,2,1
208,Asgard,126.654,266.198,K,V,9,4
209,Ashburton,-263.453,-139.898,G,V,0,3
210,Ashio,73.565,66.743,G,IV,6,3
211,Ashkum,111.924,-101.146,G,V,8,2
212,Ashley,164.386,-308.391,M,V,5,1
213,Aspropirgos,-119.143,-380.552,M,V,4,1
214,Asta,4.129,25.543,K,VI,2,2
215,Astrokaszy,-290.632,-315.408,G,V,4,3
216,Asturias,-719.505,1103.647,G,V,6,5
217,Asuncion,5.167,-101.64,F,V,6,4
218,Athenry,17.569,30.974,F,IV,8,1
219,Athna,-27.056,-354.266,M,V,1,1
220,Atlas,157.42,-244.069,F,V,5,3
221,Atocongo,-170.88,245.262,G,V,1,3
222,Atreus (Clan),71.811,1734.247,G,VI,6,3
223,Atreus (FWL),-191.068,-163.776,F,V,4,3
224,Atreus Prime,227.712,-373.559,G,V,0,3
225,Atria,-16.034,51.65,K,IV,5,5
226,Atsugi,-201.11,-227.22,G,V,0,4
227,Atzenbrugg,-377.644,-176.567,K,V,4,1
228,Aubisson,4.386,146.514,K,V,3,1
229,Aucara,176.54,-296.299,F,V,0,4
230,August,-124.018,-115.591,F,V,8,3
231,Augusta,282.265,-99.053,F,V,3,6
232,Augustine,-43.697,-76.821,G,II,4,6
233,Auldhouse,-51.012,139.198,K,V,1,2
234,Aur,-146.796,134.372,M,V,8,1
235,Aurigae,868.618,-1226.974,F,V,9,4
236,Austerlitz (Scauld 3130+),-432.673,306.258,F,V,0,4
237,Australia,-304.298,289.472,K,V,8,3
238,Autumn Wind,-167.512,-87.419,F,V,9,3
239,Avawatz,164.91,-29.514,F,V,0,4
240,Avellaneda,-57.652,-82.243,K,V,8,1
241,Avigait,153.018,-275.094,M,V,6,1
242,Avior,-116.865,-163.191,G,V,9,3
243,Avon,150.086,250.796,G,V,8,5
244,Avranches,324.654,102.398,K,V,3,2
245,Awano,95.899,160.994,G,V,5,3
246,Awyron,-265.18,411.661,G,V,7,2
247,Axton,127.169,-113.236,K,V,2,3
248,Ayacucho,-403.306,52.938,G,V,3,2
249,Aylmer,-390.827,-141.977,M,V,8,1
250,Ayn Tarma,-172.466,-302.746,K,V,6,1
251,Azha,53.764,-51.489,K,IV,8,4
252,Azur,651.303,257.747,M,V,7,1
253,Babaeski,-137.586,307.817,F,V,5,4
254,Babuyan,87.88,223.29,F,V,3,3
255,Babylon,-123.508,1600.89,G,V,7,2
256,Baccalieu,-404.744,-334.758,K,V,2,2
257,Bacum,157.152,-289.26,K,V,6,1
258,Bad News,422.117,195.368,F,V,7,4
259,Badlands,421.692,-354.196,F,V,2,4
260,Baggville,-308.21,330.433,F,V,8,4
261,Bahl's Retreat,149.799,-163.6,K,V,1,2
262,Bainsville,-141.443,-83.285,G,V,9,3
263,Baker 3,-104.473,324.098,G,V,3,3
264,Baldur,79.884,188.109,M,V,2,1
265,Baliggora,590.773,154.367,M,V,4,1
266,Balkan,-32.847,85.031,G,V,3,1
267,Ballad II,-269.75,-465.071,G,V,4,2
268,Ballalaba,-401.666,-352.79,F,V,4,4
269,Ballentine,236.552,21.565,M,V,4,1
270,Ballynure,-82.203,246.295,F,V,8,4
271,Balsta,28.935,412.772,K,V,2,1
272,Baltar,488.635,-362.6,K,V,5,1
273,Baltazar III (Himmels 3025-),-440.091,-59.547,F,V,5,3
274,Bamburgh,607.345,-136.463,K,V,9,1
275,Ban Na San,359.813,220.701,G,V,4,3
276,Bandora,13.177,-177.367,F,V,8,3
277,Banfora,-98.055,-349.684,M,V,2,1
278,Bangor,176.54,349.722,G,V,9,3
279,Bannerhoft,550.561,285.392,G,V,8,3
280,Banori,494.25,124.118,G,V,4,3
281,Barahona,684.662,284.052,K,V,3,2
282,Baranda,449.246,-259.031,K,V,6,1
283,Barcella,-23.703,1896.374,G,III,6,3
284,Barcelona,-204.78,411.468,F,V,7,4
285,Barlaston,-123.603,-266.57,F,V,0,4
286,Barlow's End,304.496,63.029,K,V,7,1
287,Barlow's Folly (Cussar 2864-),173.189,66.905,M,V,4,1
288,Barras,20.917,-354.184,K,V,2,5
289,Barstow,170.602,-40.891,K,V,6,1
290,Bartrock,590.654,-148.154,K,V,3,1
291,Baruun Urt,105.579,237.731,F,V,1,4
292,Baryshevo,-350.486,235.443,K,V,8,1
293,Basalt,66.163,-29,G,IV,4,5
294,Basantapur,364.471,-284.41,K,V,3,1
295,Basiliano,-36.966,341.425,G,V,4,2
296,Bass,-218.513,-353.602,F,V,8,3
297,Bassfield,588.832,4.872,G,V,5,3
298,Bastian,297.261,-160.021,F,V,0,4
299,Bastrop,563.403,61.713,M,V,0,1
300,Batajnica,-369.912,118.349,K,V,5,1
301,Batavia,201.099,-55.363,F,V,1,4
302,Battaraigi,-193.914,495.747,G,V,9,3
303,Baxley,432.196,-150.01,K,IV,5,3
304,Baxter,-31.288,112.658,K,II,7,4
305,Bayeux,551.924,-52.639,F,V,9,4
306,Bayindir,-242.749,-296.299,G,V,6,2
307,Bayis II,-254.159,166.531,G,V,2,2
308,Bearclaw,149.39,1723.536,A,V,6,2
309,Beaumont,583.944,39.755,K,V,3,2
310,Beauvais,-500.213,204.073,F,V,2,3
311,Beckars,-510.097,128.988,K,V,9,1
312,Bedeque,-124.593,-77.338,G,V,4,2
313,Beecher,183.783,-50.201,K,V,5,1
314,Beehive Cluster,-405.294,-709.228,F,V,7,2
315,Beenleigh,183.783,-268.848,F,V,4,4
316,Beid,124.585,-243.766,G,V,6,2
317,Beils,155.176,190.344,K,V,6,1
318,Belacruz,378.019,179.122,K,V,8,1
319,Belaire,334.489,-274.3,G,V,9,2
320,Belamor (Zanzor 2822+),61.806,-293.804,G,V,8,2
321,Belgae,955.575,211.301,K,V,1,2
322,Bell (CC),104.163,-109.868,A,V,8,10
323,Bell (OA),535.241,221.311,G,V,1,3
324,Bella I,-259.291,-44.251,K,V,3,1
325,Belladonna,262.877,-124.637,G,V,8,3
326,Bellatrix,54.279,-351.609,F,V,3,3
327,Belle Isle,445.267,-451.75,F,V,4,4
328,Bellevue,328.026,-57.682,K,V,8,1
329,Belluevue,-0.03,-79.895,K,V,3,1
330,Benedict,473.29,-11.428,M,V,6,1
331,Benet III,262.877,58.113,M,V,5,3
332,Benfled,-72.905,260.773,G,V,4,3
333,Benjamin,123.977,134.529,M,V,1,3
334,Bensinger,-128.757,444.564,F,V,4,4
335,Bentley,-6.984,-233.761,G,V,2,3
336,Beowulf,-124.146,507.223,K,V,8,1
337,Berenson,-13.703,-71.133,K,V,0,3
338,Bergen,-767.753,741.897,M,V,4,1
339,Bergman's Planet,265.979,74.914,G,V,3,3
340,Bergtatt,117.216,-375.025,G,V,6,3
341,Bernardo,-21.207,-94.595,M,V,4,6
342,Bessarabia,-25.605,276.803,G,V,3,2
343,Beta Mensae V,317.163,129.199,A,V,4,5
344,Beta Regulus II,-201.451,276.407,G,V,5,2
345,Beta Salandor,1256.478,-448.978,F,V,3,3
346,Beta VII,-154.824,384.33,B,V,0,7
347,Betelgeuse,5.674,-306.903,M,Ib,2,2
348,Beten Kaitos,167.162,-112.913,M,V,3,1
349,Bethel,140.619,-184.105,F,V,0,4
350,Bethonolog,-187.952,-357.999,K,V,8,1
351,Bettendorf,264.949,25.801,G,V,2,2
352,Bex,32.245,-46.081,F,V,5,2
353,Bhaktapur,24.475,-78.52,M,V,8,1
354,Bharat,58.927,-41.666,F,III,2,4
355,Bhykov,70.051,-228.303,M,V,6,1
356,Bicester,148.628,227.948,F,V,3,3
357,Biegga,-189.757,382.354,M,V,1,1
358,Biham,71.853,36.654,A,VI,0,1
359,Bilma,111.212,321.113,M,V,2,1
360,Biloela,-351.28,-12.71,F,V,8,3
361,Binyang,-370.409,21.414,M,V,7,1
362,Biota,-44.735,271.632,G,V,6,2
363,Birmensdorf,383.083,-270.932,F,V,2,4
364,Birqash,275.802,-266.27,G,V,5,2
365,Bismarck,-245.316,-264.984,F,V,5,3
366,Bithinia,-18.878,-178.455,K,V,8,2
367,Biuque,-223.115,245.005,M,V,2,1
368,Bjarred,243.394,408.678,F,V,4,5
369,Bjornlunda,-149.967,88.354,M,V,1,1
370,Black Earth,-180.395,393.639,F,V,1,4
371,Blackjack,-156.905,364.43,G,V,3,3
372,Blackstone,-123.877,473.522,K,V,1,2
373,Blair Atholl,-98.763,271.115,M,V,2,1
374,Blandinsville,227.989,-32.874,G,V,7,2
375,Blandou,120.873,-280.959,K,V,8,1
376,Blantleff (Dersidatz 3025-),-467.612,-115.768,K,V,9,1
377,Blida,168.303,-240.211,G,V,9,2
378,Blommestein,724.778,222.868,F,V,6,4
379,Blue Diamond,-41.623,181.415,K,V,2,1
380,Blue Hole,-186.646,348.664,K,V,7,4
381,Blue Sava,-33.31,-66.814,F,V,8,4
382,Blueys,601.61,296.35,G,V,7,2
383,Bluford,447.44,-80.182,G,V,0,3
384,Blumenort,-208.842,296.446,F,V,5,3
385,Boara,-310.769,481.44,K,V,9,1
386,Boardwalk,-13.703,-197.583,G,V,5,3
387,Bobruisk,-336.189,-15.482,F,V,6,3
388,Bodnath,157.54,-259.22,G,V,0,4
389,Boeotia,160.821,-136.233,K,V,1,2
390,Bogard,269.339,-32.361,M,V,8,1
391,Bogerth,67.938,-256.43,F,V,2,4
392,Bogrib,-139.179,-305.873,G,V,1,3
393,Bolan,-277.973,5.192,G,V,4,2
394,Bonaire,-44.042,-96.418,K,V,3,2
395,Bondurant,-162.862,-45.28,K,V,6,1
396,Bone-Norman,-185.36,424.923,G,V,6,2
397,Bonneau,396.266,-165.967,F,V,5,3
398,Booker,-237.65,-357.776,G,V,8,3
399,Boondock,590.899,21.414,K,V,7,1
400,Bora,38.768,-157.74,G,V,4,2
401,Borden,51.427,-370.734,K,V,8,1
402,Bordon,-63.082,-33.391,K,V,0,3
403,Borgan's Rift,-105.063,-412.086,F,V,1,2
404,Borghese,-79.282,210.528,K,V,8,1
405,Borka,-56.598,-325.638,M,V,0,1
406,Bossangoa,731.853,277.423,F,V,6,4
407,Botany Bay,-177.828,483.083,G,V,4,3
408,Bothwell,482.576,23.941,G,V,6,2
409,Bougie,-505.773,215.463,F,V,1,4
410,Boulsi,778.124,189.993,F,V,8,2
411,Bountiful Harvest,-137.281,261.032,F,IV,2,4
412,Bowang,-315.093,-159.326,K,V,9,1
413,Braben's Frontier,580.482,206.47,M,V,8,1
414,Brabent,174.029,-192.577,F,V,7,2
415,Brailsford,327.49,385.138,M,V,1,1
416,Branzoll,207.085,-175.168,F,V,1,3
417,Brasha,436.566,194.866,G,V,4,4
418,Braum,103.719,-315.56,K,V,5,1
419,Braunschweig,-687.588,850.591,F,V,4,4
420,Braunton,129.24,237.243,F,V,9,4
421,Breed,195.41,39.755,K,VII,7,5
422,Bremen (HL),-792.652,807.085,G,V,3,4
423,Bremen (RWR),-472.113,338.415,K,V,9,1
424,Bremond,388.248,58.63,F,V,6,4
425,Brest,30.759,-303.5,K,V,9,1
426,Breukelen,-88.149,141.349,G,V,9,2
427,Brighton,79.087,-200.359,F,III,9,4
428,Brihuega,354.897,391.082,M,V,7,1
429,Brim,-24.525,1768.565,F,II,9,4
430,Bringdam,101.458,-409.107,K,V,5,1
431,Brinton,134.638,-411.522,G,V,6,5
432,Brisbane,154.953,-398.782,G,V,2,3
433,Bristol,179.097,-65.984,K,V,5,2
434,Brixtana,-91.651,-450.122,K,V,2,2
435,Broaddus,465.025,55.784,F,V,7,4
436,Brocchi's Cluster (40),160.691,387.513,K,V,6,1
437,Brockton,531.977,-119.184,F,V,0,4
438,Brockway,218.167,-355.971,K,IV,7,4
439,Broken Wheel,534.29,-173.501,G,V,0,5
440,Bromhead,159.739,-377.477,F,II,9,6
441,Brookeland,440.204,70.523,K,V,4,1
442,Brooloo,-267.032,284.556,F,V,9,3
443,Brownsville,6.466,-29.788,K,V,3,2
444,Bruben,-5.704,388.468,M,V,4,1
445,Bruges,-787.026,886.42,M,V,5,1
446,Brundage,403.502,49.323,G,III,4,4
447,Brundams,-1877.428,-441.992,K,V,9,1
448,Brusett,245.563,-328.119,G,V,9,3
449,Bryant,13.177,-13.229,F,IV,5,4
450,Bryceland,406.606,97.919,M,V,6,1
451,Buchlau,70.048,-68.804,F,II,5,3
452,Bucklands,-326.196,330.561,K,V,7,4
453,Buckminster,17.582,154.653,A,III,9,6
454,Budingen,382.302,162.025,G,V,8,2
455,Buena,-400.433,35.625,G,V,6,2
456,Buenos Aires,18.092,-341.994,G,V,8,3
457,Burnt Rock,-328.509,191.528,G,V,9,3
458,Burton,185.434,-420.735,K,V,9,1
459,Bushmill,3.025,329.358,M,V,0,1
460,Butler,-126.179,375.283,M,V,1,3
461,Butte Hold,-100.816,462.398,G,V,8,3
462,Butzfleth,-108.041,-373.809,M,V,0,1
463,Bye's Ship,-250.981,-493.657,G,V,9,3
464,Byesville,132.602,335.734,M,V,9,1
465,Cabanatuan,292.485,448.092,G,V,8,2
466,Cadela,426.669,-390.876,K,V,6,1
467,Cadiz (DC),122.004,149.102,G,V,0,3
468,Cadiz (TC),328.076,-424.041,F,V,8,2
469,Caerlaverock,488.177,43.475,F,V,9,2
470,Caesaera,233.978,356.372,G,V,3,2
471,Caesar's Crown,-636.13,-196.257,G,V,0,4
472,Cahokia,288.727,-72.946,M,V,0,4
473,Caillinius,-130.967,540.409,F,V,5,3
474,Cajamarca,-243.235,-162.892,K,V,2,2
475,Calafell,-366.542,130.232,F,V,0,4
476,Calchedon,-366.936,-96.04,F,V,6,3
477,Caldarium,-444.773,234.442,F,V,2,4
478,Caldrea,33.853,193.307,K,V,4,1
479,Caldwell,332.592,-325.176,G,V,6,3
480,Caledea,-283.323,215.575,G,V,3,2
481,Caledonia,-121.025,37.179,K,V,8,1
482,Calingasta,670.847,182.793,G,V,6,3
483,"Calish (Calish II, III)",457.6,159.587,M,V,8,1
484,Callison,-62.556,-15.044,G,V,5,2
485,Callisto V,-156.589,123.798,B,V,9,5
486,Calloway VI,-58.168,-199.567,F,V,5,6
487,Calpaca,-20.166,-214.831,M,V,8,1
488,Calseraigne,-8.281,-367.667,M,V,7,1
489,Calvados,-459.055,-6.629,G,V,4,3
490,Camadeierre,217.73,-401.501,G,V,0,4
491,Cambiano,351.538,-241.982,F,V,7,4
492,Cambridge,-301,640,F,V,5,3
493,Cameron (FWL),-157.697,-196.793,G,V,9,3
494,Cameron (LC),-172.97,167.203,K,V,1,1
495,Camlann (FWL),-153.871,-233.875,M,III,0,1
496,Camlann (LC),0.521,165.62,G,V,6,3
497,Cammal,111.4,-164.975,F,V,3,4
498,Campbelton,-168.439,-112.094,G,V,6,3
499,Campertown,-5.436,-159.326,M,V,0,1
500,Campoleone,-299.83,-291.844,G,V,2,2
501,Canal,-377.634,307.298,K,V,7,1
502,Candiear,-203.78,-419.341,M,V,8,1
503,Canonbie,-122.017,67.163,M,V,8,1
504,Canopus IV,-147.166,-394.997,F,IV,5,4
505,Cap Rouge,-123.612,-307.697,A,V,9,5
506,Capac,310.184,-56.394,G,V,9,3
507,Capella,38.133,-172.157,F,III,6,7
508,Caph,12.917,-0.564,G,V,5,3
509,Capolla,8.003,-41.409,F,VI,6,6
510,Capra,340.416,105.709,M,V,1,1
511,Capricorn III,87.616,-186.38,F,V,9,3
512,Caracol,273.349,398.823,M,V,6,1
513,Carbonis,-47.58,-175.575,M,V,1,2
514,Carcassonne,380.381,18.128,K,V,6,1
515,Carcri,701.769,-110.366,G,V,5,3
516,Cardff,-377.873,-5.998,G,V,8,2
517,Caria,157.768,-125.011,K,V,7,1
518,Caripare,146.814,291.272,K,V,7,1
519,Carlisle,-304.983,88.88,K,V,1,3
520,Carmacks,183.783,-236.833,G,V,3,4
521,Carmelita,749.431,237.95,F,V,9,3
522,Carmen,28.43,-264.486,M,V,8,1
523,Carmichael,199.553,-349.033,K,V,8,1
524,Carnac,233.807,-24.011,F,V,1,4
525,Carnwath,-63.082,82.416,K,IV,5,3
526,Carse,-15.777,239.059,G,V,1,4
527,Carsphairn,-96.168,38.985,K,V,1,3
528,Carstairs,-77.04,139.279,G,V,4,2
529,Cartago,139.836,-10.127,F,V,3,13
530,Carthage,199.053,-464.191,G,V,6,2
531,Carvajal,417.122,-435.915,G,V,7,2
532,Carver V (Liberty 3063+),-5.436,-20.722,M,V,5,5
533,Cascade,-223.115,-47.613,M,V,8,1
534,Caselton,115.467,-32.666,K,IV,2,2
535,Casere,77.8,343.743,F,V,1,4
536,Cassias,317.678,79.828,M,Ia,5,1
537,Castile,-657.867,1108.36,G,V,2,4
538,Castor,-40.43,-16.683,K,V,8,1
539,Castrovia,13.692,-252.594,F,V,6,4
540,Cate's Hold,-69.555,-471.669,M,V,2,1
541,Catroxx,-90.857,-36.364,K,V,1,2
542,Cavalor,60.99,-387.783,M,V,4,1
543,Cavanaugh II,-307.125,-52.558,M,II,9,4
544,Cayuga,-280.178,-513.855,F,V,6,4
545,Ceará,-221.311,-322.913,K,V,0,1
546,Cebalrai,-8.289,119.379,K,III,2,3
547,Ceiba,720.2,266.605,K,V,1,2
548,Celano,323.458,-484.147,F,V,4,4
549,Celebes,118.075,75.829,M,V,7,1
550,Celentaro,339.936,-348.979,F,V,6,3
551,Centavido,257.724,-368.727,K,V,0,2
