,Name,Primary,FactionChange
44,Agmond (Bornal 3130+),1,"['(Date=2730-07-23,Faction=FS)', '(Date=2897-04-12,Faction=ABN)']"
45,Aigle,1,"['(Date=2667-09-22,Faction=LA)', '(Date=2833-08-26,Faction=ABN)']"
46,Aiguebelle,3,"['(Date=2731-09-12,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
47,Aitutaki,3,"['(Date=2247-03-21,Faction=PR)', '(Date=2271-06-01,Faction=FWL)', '(Date=3078-05-01,Faction=PR)', '(Date=3086-02-01,Faction=RF)', '(Date=3130-11-26,Faction=IND)', '(Date=3145-09-21,Faction=FWL)']"
48,Aix-la-Chapelle,4,"['(Date=2276-03-07,Faction=IND)', '(Date=2322-01-17,Faction=DC)']"
49,Akfata,1,"['(Date=2546-09-12,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
50,Al Hillah,3,"['(Date=2170-01-03,Faction=TA)', '(Date=2235-09-19,Faction=TamP)', '(Date=2341-07-16,Faction=LA)', '(Date=2861-08-06,Faction=DC)', '(Date=3030-11-09,Faction=LA)', '(Date=3034-03-13,Faction=FRR)', '(Date=3075-07-13,Faction=CGB)', '(Date=3103-03-13,Faction=RD)']"
51,Al Jafr,4,"['(Date=2665-03-05,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=2665-12-16,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
52,Al Jubaylah,1,"['(Date=2415-04-03,Faction=FWL)', '(Date=3081-08-11,Faction=IND)']"
53,Al Na'ir,5,"['(Date=2266-07-18,Faction=IND)', '(Date=2320-08-23,Faction=TH)', '(Date=2767-10-05,Faction=RWR)', '(Date=2779-01-11,Faction=TH)', '(Date=2785-12-06,Faction=DC)', '(Date=3069-03-01,Faction=WOB)', '(Date=3079-07-22,Faction=CGB,CSR,Stone,WOB)', '(Date=3079-07-28,Faction=Stone)', '(Date=3081-11-27,Faction=ROS)', '(Date=3132-07-01,Faction=DC)']"
54,Alarion,3,"['(Date=2499-05-01,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
55,Albalii,2,"['(Date=2561-11-12,Faction=DC)', '(Date=3075-08-13,Faction=AB)', '(Date=3081-12-07,Faction=ROS)', '(Date=3135-01-08,Faction=DC)']"
56,Albaracht,2,"['(Date=3130-05-03,Faction=CDP)']"
57,Albert Falls,1,"['(Date=2402-06-29,Faction=FWL)', '(Date=3081-09-06,Faction=IND)', '(Date=3145-05-25,Faction=FWL)']"
58,Albiero,3,"['(Date=2650-02-26,Faction=DC)', '(Date=2750-12-23,Faction=DC)', '(Date=3050-07-01,Faction=CSJ)', '(Date=3059-09-15,Faction=DC,CSJ)', '(Date=3059-09-18,Faction=DC)']"
59,Albion (Clan),2,"['(Date=2786-05-09,Faction=SLIE)', '(Date=2802-06-11,Faction=CB)', '(Date=2821-05-05,Faction=CB)', '(Date=3059-02-27,Faction=CSA)', '(Date=3070-05-01,Faction=CBS,CSA)', '(Date=3070-11-01,Faction=CBS,CSA,CCC)', '(Date=3072-03-01,Faction=CBS,CSA,CCC,CGS)', '(Date=3072-03-18,Faction=CBS,CSA,CCC,SOC)', '(Date=3073-04-27,Faction=CBS,CSA,CCC,SOC)', '(Date=3073-05-02,Faction=CCC,CBS)', '(Date=3075-12-17,Faction=CBS,CCC,CCO,CSA)', '(Date=3079-02-05,Faction=CCC,CCO,CSA)', '(Date=3085-07-10,Faction=ABN)']"
60,Albion (LC),3,"['(Date=2643-01-12,Faction=LA)', '(Date=2896-07-18,Faction=ABN)']"
61,Alchiba,3,"['(Date=2240-12-04,Faction=IND)', '(Date=2320-11-04,Faction=TH)', '(Date=2571-05-23,Faction=LA)', '(Date=2767-11-02,Faction=RWR)', '(Date=2779-06-30,Faction=TH)', '(Date=2786-06-05,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3068-09-01,Faction=FWL)', '(Date=3070-02-01,Faction=LA)', '(Date=3081-02-23,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-04-13,Faction=CWE)']"
62,Alcor,3,"['(Date=2255-10-12,Faction=IND)', '(Date=2299-05-14,Faction=FoS)', '(Date=2341-03-25,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3068-09-20,Faction=FWL)', '(Date=3069-01-07,Faction=LA)', '(Date=3081-11-14,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3144-06-01,Faction=GL)']"
63,Alcyone,1,"['(Date=2243-11-20,Faction=SIMA)', '(Date=2367-08-01,Faction=CC)', '(Date=2864-03-22,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
64,Aldebaran,5,"['(Date=2267-01-01,Faction=IND)', '(Date=2315-05-08,Faction=DoL)', '(Date=2571-10-08,Faction=TH)', '(Date=2767-07-20,Faction=RWR)', '(Date=2779-05-12,Faction=TH)', '(Date=2786-03-20,Faction=CC)', '(Date=3028-08-24,Faction=CC,FS)', '(Date=3028-09-07,Faction=FS)', '(Date=3030-02-28,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-11-01,Faction=CM)', '(Date=3062-01-14,Faction=CC)', '(Date=3085-05-17,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-02-15,Faction=CC)']"
65,Aldertaine,1,"['(Date=2270-09-16,Faction=CH)', '(Date=2310-04-17,Faction=CCom)', '(Date=2367-08-01,Faction=CC)']"
66,Aldrecht,1,"['(Date=2532-04-28,Faction=DC)', '(Date=2808-05-17,Faction=ABN)']"
67,Alegro,4,"['(Date=2692-07-14,Faction=OA)', '(Date=3083-02-28,Faction=RA)']"
68,Alekseyevka,1,"['(Date=2550-12-19,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
69,Alexandria (CC),3,"['(Date=2274-07-11,Faction=IND)', '(Date=2310-11-15,Faction=CCom)', '(Date=2367-08-01,Faction=CC)', '(Date=2897-10-15,Faction=ABN)']"
70,Alexandria (LC),3,"['(Date=2164-03-01,Faction=TA)', '(Date=2242-10-30,Faction=IND)', '(Date=2299-08-19,Faction=FoS)', '(Date=2341-02-17,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3140-02-29,Faction=CJF)']"
71,Alexandrian Covenant,1,"['(Date=2596-06-14,Faction=IND)']"
72,Alfirk,1,"['(Date=2270-10-16,Faction=IND)']"
73,Algate,1,"['(Date=2386-02-07,Faction=DC)']"
74,Algedi,5,"['(Date=2272-07-07,Faction=IND)', '(Date=2321-11-15,Faction=DC)', '(Date=3075-08-20,Faction=AB)', '(Date=3080-04-03,Faction=DC)']"
75,Algenib,1,"['(Date=2900-06-19,Faction=MH)']"
76,Algol,4,"['(Date=2243-08-24,Faction=TGU)', '(Date=2358-02-13,Faction=SSUP)', '(Date=2366-10-10,Faction=TGU)', '(Date=2367-05-11,Faction=CC)', '(Date=3028-08-27,Faction=CC,FS)', '(Date=3028-09-04,Faction=FS)', '(Date=3030-02-28,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3072-02-01,Faction=WOB)', '(Date=3077-03-10,Faction=Stone,WOB)', '(Date=3077-03-12,Faction=Stone)', '(Date=3081-02-27,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-01-15,Faction=CC)']"
77,Algorab,5,"['(Date=2208-08-03,Faction=IND)', '(Date=2299-07-01,Faction=FoS)', '(Date=2341-02-10,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3081-10-22,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-11-12,Faction=CWE)']"
78,Algot,5,"['(Date=2243-06-10,Faction=TGU)', '(Date=2367-07-20,Faction=CC)', '(Date=2900-04-28,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3072-02-01,Faction=WOB)', '(Date=3077-02-21,Faction=CC,WOB)', '(Date=3077-02-27,Faction=CC)', '(Date=3085-11-14,Faction=ROS)', '(Date=3135-07-11,Faction=CC)']"
79,Alhena,2,"['(Date=2238-08-11,Faction=IND)', '(Date=2350-10-01,Faction=LA)', '(Date=2821-10-25,Faction=FWL)', '(Date=3081-01-16,Faction=IND)', '(Date=3082-06-03,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3140-02-02,Faction=RR)']"
80,Alioth,2,"['(Date=2242-06-04,Faction=IND)', '(Date=2320-11-12,Faction=TH)', '(Date=2767-03-11,Faction=RWR)', '(Date=2779-07-21,Faction=TH)', '(Date=2790-03-18,Faction=LA)', '(Date=3039-07-06,Faction=FWL,LA)', '(Date=3039-07-13,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3081-06-10,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-01-01,Faction=CWE)']"
81,Alkaid,2,"['(Date=2267-09-16,Faction=IND)', '(Date=2299-12-04,Faction=FoS)', '(Date=2341-05-18,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3070-02-01,Faction=WOB,LA)', '(Date=3070-12-01,Faction=LA)', '(Date=3081-10-01,Faction=ROS)', '(Date=3135-06-21,Faction=CJF)']"
82,Alkalurops,3,"['(Date=2117-02-27,Faction=TA)', '(Date=2242-07-23,Faction=IND)', '(Date=2299-09-28,Faction=FoS)', '(Date=2341-06-08,Faction=LA)', '(Date=2891-04-07,Faction=DC)', '(Date=2998-03-25,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3081-09-04,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3140-01-20,Faction=CJF)']"
83,Alkes,3,"['(Date=2271-11-02,Faction=IND)', '(Date=2355-06-22,Faction=LA)', '(Date=2417-08-15,Faction=FWL)', '(Date=2821-07-14,Faction=LA)', '(Date=2900-10-13,Faction=FWL)', '(Date=3079-06-22,Faction=SHC)', '(Date=3082-06-24,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3136-02-01,Faction=PC)', '(Date=3145-10-16,Faction=CvW)']"
84,Alktral,1,"['(Date=2654-01-14,Faction=OA)', '(Date=2800-08-22,Faction=ABN)']"
85,All Dawn,3,"['(Date=2554-12-23,Faction=RWR)', '(Date=2779-07-21,Faction=PIND)', '(Date=3048-06-25,Faction=RIM)']"
86,Alleghe,3,"['(Date=2659-06-13,Faction=DC)', '(Date=3034-03-13,Faction=FRR)', '(Date=3050-03-10,Faction=CW)', '(Date=3071-04-19,Faction=CHH)', '(Date=3130-02-27,Faction=RD)']"
87,Allerton,2,"['(Date=2273-09-08,Faction=IND)', '(Date=2350-08-02,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
88,Alma Alta,4,"['(Date=2314-08-30,Faction=PD)', '(Date=2341-07-31,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
89,Almach,2,"['(Date=2202-09-19,Faction=IND)', '(Date=2278-11-21,Faction=Mara)', '(Date=2308-11-12,Faction=TGU)', '(Date=2344-08-10,Faction=FS)', '(Date=2571-07-12,Faction=CC)', '(Date=2864-10-02,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3145-09-23,Faction=CC)']"
90,Almunge,4,"['(Date=2535-08-22,Faction=DC)', '(Date=3050-04-01,Faction=CSJ)', '(Date=3059-06-26,Faction=DC)', '(Date=2535-11-28,Faction=DC)', '(Date=3050-04-01,Faction=CSJ)', '(Date=3059-06-26,Faction=DC)']"
91,Alnadal,4,"['(Date=2694-04-02,Faction=FS)', '(Date=2864-01-24,Faction=DC)', '(Date=2947-09-06,Faction=ABN)']"
92,Alnasi,2,"['(Date=2319-02-07,Faction=IND)', '(Date=2365-02-20,Faction=LA)', '(Date=2821-02-08,Faction=DC)', '(Date=2822-07-03,Faction=DC)', '(Date=3039-04-15,Faction=DC,LA)', '(Date=3039-05-12,Faction=DC)', '(Date=3081-03-20,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-12-05,Faction=RD)']"
93,Alorton,1,"['(Date=2471-01-02,Faction=FWL)', '(Date=2790-10-17,Faction=FWL)', '(Date=3079-12-23,Faction=DTA)']"
94,Alphard (FWL),1,"['(Date=2238-11-08,Faction=IND)', '(Date=2280-06-24,Faction=FWL)', '(Date=3081-08-15,Faction=IND)', '(Date=3082-08-09,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3137-10-01,Faction=CvW)']"
95,Alphard (MH),4,"['(Date=2920-09-11,Faction=MH)', '(Date=3025-05-13,Faction=MH)']"
96,Alphecca,2,"['(Date=2205-11-26,Faction=IND)', '(Date=2299-02-26,Faction=FoS)', '(Date=2341-01-17,Faction=LA)', '(Date=3030-04-30,Faction=DC)', '(Date=3048-10-27,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3081-12-03,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-08-13,Faction=CJF)']"
97,Alpheratz,4,"['(Date=2413-02-28,Faction=OA)', '(Date=3083-08-17,Faction=RA)']"
98,Alrakis,2,"['(Date=2266-01-14,Faction=IND)', '(Date=2299-03-23,Faction=FoS)', '(Date=2341-01-10,Faction=LA)', '(Date=2900-12-02,Faction=DC)', '(Date=3081-06-21,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-10-04,Faction=RD)']"
99,Alrescha,3,"['(Date=2243-11-27,Faction=TGU)', '(Date=2367-11-05,Faction=CC)', '(Date=3030-09-20,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3081-12-30,Faction=ROS)', '(Date=3135-07-02,Faction=FS)', '(Date=3145-02-14,Faction=CC)']"
100,Alsek,3,"['(Date=2272-01-29,Faction=IND)', '(Date=2340-02-16,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
101,Alshain,5,"['(Date=2690-10-17,Faction=DC)', '(Date=3051-12-05,Faction=CGB)', '(Date=3103-03-13,Faction=RD)']"
102,Alta,3,"['(Date=2666-04-21,Faction=FWL)', '(Date=2900-09-21,Faction=ABN)']"
103,Alta Vista,1,"['(Date=2734-09-12,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
104,Altair,5,"['(Date=2242-07-25,Faction=IND)', '(Date=2309-05-21,Faction=AG)', '(Date=2319-06-22,Faction=DC)', '(Date=2321-05-03,Faction=TH)', '(Date=2767-06-12,Faction=RWR)', '(Date=2779-08-29,Faction=TH)', '(Date=2790-08-23,Faction=DC)', '(Date=2821-11-15,Faction=DC)', '(Date=3068-06-21,Faction=WOB)', '(Date=3079-06-10,Faction=Stone,WOB)', '(Date=3079-06-14,Faction=Stone)', '(Date=3081-06-21,Faction=ROS)']"
105,Altais,1,"['(Date=2273-07-18,Faction=IND)', '(Date=2365-10-23,Faction=LA)', '(Date=2571-01-25,Faction=DC)', '(Date=3081-11-07,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-12-08,Faction=DC)']"
106,Altdorf,3,"['(Date=2274-09-08,Faction=IND)', '(Date=2325-08-03,Faction=DC)']"
107,Altenmarkt,3,"['(Date=2235-07-15,Faction=TamP)', '(Date=2341-05-29,Faction=LA)', '(Date=2900-07-25,Faction=DC)', '(Date=3030-01-11,Faction=LA)', '(Date=3034-03-13,Faction=FRR)', '(Date=3052-02-22,Faction=CW,FRR)', '(Date=3052-02-28,Faction=CW)', '(Date=3062-08-13,Faction=CGB)', '(Date=3103-03-13,Faction=RD)']"
108,Alterf,4,"['(Date=2241-06-08,Faction=MCM)', '(Date=2271-06-01,Faction=FWL)', '(Date=3079-11-21,Faction=MSC)', '(Date=3145-02-08,Faction=FWL)', '(Date=2241-06-19,Faction=MCM)', '(Date=2271-06-01,Faction=FWL)', '(Date=3079-07-26,Faction=MSC)', '(Date=3145-06-21,Faction=FWL)']"
109,Althastan,4,"['(Date=2746-05-01,Faction=RWR)', '(Date=2779-09-18,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3130-12-17,Faction=PIND)', '(Date=2746-12-18,Faction=RWR)', '(Date=2779-06-23,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3130-11-30,Faction=PIND)']"
110,Althea's Choice,3,"['(Date=2748-01-01,Faction=TC)', '(Date=3120-04-18,Faction=PIND)']"
111,Alto,4,"['(Date=2638-03-26,Faction=CC)', '(Date=2899-05-08,Faction=ABN)']"
112,Altona,1,"['(Date=2739-10-02,Faction=DC)', '(Date=3120-05-25,Faction=PIND)']"
113,Altoona (FS),1,"['(Date=2648-03-30,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
114,Altoona (LC),3,"['(Date=2700-06-09,Faction=LA)', '(Date=2800-08-10,Faction=FWL)', '(Date=2801-09-12,Faction=ABN)']"
115,Altorra,4,"['(Date=2196-02-10,Faction=IND)', '(Date=2250-10-13,Faction=SIS)', '(Date=2367-08-01,Faction=CC)', '(Date=3030-11-01,Faction=DA,CC)', '(Date=3030-11-15,Faction=CC)']"
116,Alula Australis,8,"['(Date=2242-11-11,Faction=IND)', '(Date=2271-03-23,Faction=TA)', '(Date=2316-08-25,Faction=TH,FWL)', '(Date=2317-07-22,Faction=TH)', '(Date=2767-05-17,Faction=RWR)', '(Date=2779-07-15,Faction=TH)', '(Date=2790-03-16,Faction=FWL)', '(Date=2821-09-25,Faction=FWL)', '(Date=3030-10-14,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-10-01,Faction=FWL)', '(Date=3072-02-01,Faction=WOB)', '(Date=3078-03-09,Faction=Stone,WOB)', '(Date=3078-03-15,Faction=Stone)', '(Date=3081-03-06,Faction=ROS)']"
