Name,Name,StarSystemName,PosX,PosY,SpectralType,Luminosity,SubType,Cluster,ClusterOverlay,ClusterConstellation
20,20.0,Saffel,25.586,11.845999999999998,K,VI,3.0,"(Id="""")",None,None
21,21.0,Marik,-79.62100000000001,-75.28,K,V,0.0,"(Id="""")",None,None
22,22.0,Quentin,46.001999999999995,12.360999999999999,K,IV,9.0,"(Id="""")",None,None
23,23.0,Tigress,74.697,-29.514,G,V,7.0,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
24,24.0,Dieudonné,-75.22399999999999,-25.895,F,V,3.0,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
25,25.0,Nusakan,-34.772,43.29,K,V,0.0,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
26,26.0,Lipton,-33.864000000000004,6.414,G,V,5.0,"(Id="""")",None,None
27,27.0,Hall,-13.960999999999999,-44.251000000000005,K,V,0.0,"(Id="""")",None,None
28,28.0,New Home,7.229,-12.715,G,IV,4.0,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
29,29.0,Summer,-44.468,26.058000000000003,M,V,4.0,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
30,30.0,Epsilon Eridani,18.35,-21.248,K,IV,2.0,"(Id="""")",None,None
31,31.0,Nashira,47.655,33.586999999999996,K,IV,5.0,"(Id="""")",None,None
32,32.0,Ingress,49.622,-18.660999999999998,G,V,6.0,"(Id="""")",None,None
33,33.0,Ko,-18.105,43.9,G,IV,6.0,"(Id="""")",None,None
34,34.0,Cor Caroli,-62.301,15.463,A,VI,0.0,"(Id="""")",None,None
35,35.0,Caph,12.917,-0.564,G,V,5.0,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
36,36.0,Chesterton,115.619,-71.03699999999999,G,V,9.0,"(Id="""")",None,None
37,37.0,Kervil,34.119,45.961000000000006,K,V,3.0,"(Id="""")",None,None
38,38.0,Cartago,139.836,-10.127,F,V,3.0,"(Id="""")",None,None
39,39.0,Carver V (Liberty 3063+),-5.436,-20.721999999999998,M,V,5.0,"(Id="""")",None,None
40,40.0,Asta,4.129,25.543000000000003,K,VI,2.0,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
41,41.0,Epsilon Indi,29.203000000000003,-15.558,F,V,9.0,"(Id="""")",None,None
42,42.0,Ozawa,84.77799999999999,2.798,K,II,5.0,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
43,43.0,Milton,-64.37100000000001,2.798,G,V,3.0,"(Id="""")",None,None
44,44.0,Styx,25.844,25.543000000000003,F,IV,8.0,"(Id="""")",None,None
45,45.0,Outreach,-3.109,-34.688,K,V,9.0,"(Id="""")",None,None
46,46.0,Edwards,132.086,-32.361,F,V,5.0,"(Id="""")",None,None
47,47.0,Doneval II,198.78099999999998,8.744,K,V,3.0,"(Id=""MWFactionAsset:IndustrialMiningCompany"")",None,None
48,48.0,Callison,-62.556000000000004,-15.044,G,V,5.0,"(Id="""")",None,None
49,49.0,Keid,3.096,-10.127,G,IV,6.0,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
50,50.0,Imbros III,-2.077,34.077,M,V,5.0,"(Id="""")",None,None
51,51.0,Mallory's World,111.402,5.902,G,Ib,2.0,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
52,52.0,Syrma,-57.92,39.147,F,V,6.0,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
53,53.0,Mizar,-54.548,20.628,A,V,2.0,"(Id="""")",None,None
54,54.0,Altair,8.836,13.754000000000001,F,III,7.0,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
55,55.0,Lambrecht,13.435,57.597,G,IV,6.0,"(Id="""")",None,None
56,56.0,Ascella,20.928,74.39699999999999,A,VI,4.0,"(Id="""")",None,None
57,57.0,Basalt,66.163,-29.0,G,IV,4.0,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
58,58.0,Zion,15.245999999999999,-83.285,F,III,7.0,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
59,59.0,Telos IV,43.942,40.273,K,IV,7.0,"(Id="""")",None,None
60,60.0,Eltanin,-1.9169999999999998,99.345,K,IV,5.0,"(Id=""MWFactionAsset:RogueSystems"")",None,None
61,61.0,Rukbat,42.128,108.781,K,IV,9.0,"(Id=""MWFactionAsset:RogueSystems"")",/Game/Campaign/CampaignArcs/Regions/12_3/12_3.12_3,None
62,62.0,McHenry,179.393,-84.574,M,V,7.0,"(Id=""MWFactionAsset:RepairSystem_7"")",None,None
63,63.0,Dyev,5.683,40.797,K,III,8.0,"(Id="""")",None,None
64,64.0,Demeter,91.49700000000001,-69.589,M,V,2.0,"(Id=""MWFactionAsset:RepairSystem_5"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneCollision/Safezone_7_5_Blob.Safezone_7_5_Blob,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/Safezone_7_5.Safezone_7_5
65,65.0,Eaton,-80.915,112.65799999999999,K,V,0.0,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
66,66.0,Blue Diamond,-41.623000000000005,181.415,K,V,2.0,"(Id=""MWFactionAsset:RepairSystem_28"")",None,None
67,67.0,Laiaka,-100.609,54.238,M,V,9.0,"(Id="""")",None,None
68,68.0,Capolla,8.003,-41.409,F,VI,6.0,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
69,69.0,Terra Firma,22.495,-33.623000000000005,G,V,8.0,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
70,70.0,Skat,93.311,26.833000000000002,F,V,7.0,"(Id=""MWFactionAsset:RepairSystem_8"")",None,None
72,72.0,Fomalhaut,20.928,5.382000000000001,A,V,3.0,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
73,73.0,Sheratan,40.84,-21.506,K,V,5.0,"(Id="""")",None,None
74,74.0,Piedmont,79.399,77.759,G,IV,6.0,"(Id="""")",None,None
75,75.0,Bryant,13.177,-13.229000000000001,F,IV,5.0,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
76,76.0,Helen,57.45399999999999,10.033999999999999,M,V,0.0,"(Id="""")",None,None
77,77.0,Muskegon,164.54,-99.25399999999999,M,V,4.0,"(Id=""MWFactionAsset:RepairSystem_7"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneCollision/Safezone_7_Blob.Safezone_7_Blob,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/Safezone_7.Safezone_7
78,78.0,Zavijava,-31.803,-0.304,M,V,3.0,"(Id="""")",None,None
79,79.0,Arboris,43.158,-51.489,K,IV,1.0,"(Id="""")",None,None
80,80.0,Yorii,-8.015,21.153000000000002,F,V,6.0,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
81,81.0,Hsien,5.683,-54.333999999999996,G,V,0.0,"(Id=""MWFactionAsset:StoryCluster1"")",/Game/Campaign/CampaignArcs/Regions/StoryCluster_01/StoryCluster_1_STM.StoryCluster_1_STM,None
82,82.0,Kawich,53.763999999999996,-29.514,M,V,0.0,"(Id="""")",None,None
83,83.0,Autumn Wind,-167.512,-87.419,F,V,9.0,"(Id="""")",None,None
84,84.0,Connaught,-54.292,-40.367,M,V,2.0,"(Id="""")",None,None
85,85.0,Graham IV,-23.526,-10.386,G,V,2.0,"(Id="""")",None,None
86,86.0,Moore,5.683,64.061,K,V,5.0,"(Id="""")",None,None
87,87.0,Aldebaran,24.813000000000002,-64.414,K,III,5.0,"(Id="""")",None,None
88,88.0,Kessel,-13.136,83.708,G,V,0.0,"(Id=""MWFactionAsset:RogueSystems"")",None,None
89,89.0,Small World,51.693000000000005,-7.025,M,V,5.0,"(Id="""")",None,None
90,90.0,Foot Fall,94.601,-109.868,M,III,9.0,"(Id=""MWFactionAsset:A2M1_Cluster"")",/Game/Campaign/CampaignArcs/MetagameObjectives/CampaignClusters/A2M1.A2M1,None
91,91.0,Robinson,232.72,-6.482,G,IV,5.0,"(Id=""MWFactionAsset:IndustrialMiningCompany"")",None,None
92,92.0,Alphecca,-46.79,61.986999999999995,A,V,0.0,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
93,93.0,Lyons,-23.01,38.727,F,V,8.0,"(Id="""")",None,None
94,94.0,Wasat,-19.908,-54.593,K,V,6.0,"(Id="""")",None,None
95,95.0,Atria,-16.034000000000002,51.65,K,IV,5.0,"(Id="""")",None,None
96,96.0,Alkalurops,-35.935,45.191,A,IV,7.0,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
97,97.0,Junction,134.928,78.78699999999999,K,V,7.0,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
98,98.0,Alcor,-74.708,28.904,A,V,5.0,"(Id=""MWFactionAsset:RepairSystem_15"")",None,None
99,99.0,Auldhouse,-51.012,139.19799999999998,K,V,1.0,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
100,100.0,Irian,-46.531000000000006,-56.396,G,III,5.0,"(Id="""")",None,None
101,101.0,Menkent,-38.289,22.951,K,IV,0.0,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
102,102.0,Devil's Rock,-36.193000000000005,-15.302,G,V,1.0,"(Id="""")",None,None
103,103.0,Sadalbari,137.775,42.858999999999995,K,VI,0.0,"(Id=""MWFactionAsset:KuritaDavion"")",None,None
104,104.0,New Olympia,-150.168,-130.286,G,V,1.0,"(Id=""MWFactionAsset:RebeliousLyranTerritory"")",None,None
105,105.0,Phecda,-74.45100000000001,-1.595,A,V,0.0,"(Id="""")",None,None
106,106.0,Sirius,-2.562,-7.86,A,V,1.0,"(Id=""MWFactionAsset:RepairSystem_26"")",None,None
107,107.0,Asuncion,5.167000000000001,-101.64,F,V,6.0,"(Id="""")",None,None
108,108.0,Woodstock,44.199,-36.749,G,V,5.0,"(Id="""")",None,None
109,109.0,Stewart,-119.184,-51.93600000000001,G,V,8.0,"(Id=""MWFactionAsset:StewartCommonality"")",None,None
110,110.0,Skondia,-31.803,55.527,F,V,6.0,"(Id="""")",None,None
111,111.0,Markab,97.70200000000001,22.756,M,IV,2.0,"(Id=""MWFactionAsset:RepairSystem_8"")",None,None
112,112.0,Errai,52.512,3.478,M,IV,6.0,"(Id="""")",None,None
113,113.0,Sarna,55.00899999999999,-154.88,F,IV,8.0,"(Id=""MWFactionAsset:TsinghaiCommonality"")",None,None
114,114.0,Gei-Fu,57.638999999999996,-199.071,F,II,5.0,"(Id="""")",None,None
115,115.0,Biham,71.85300000000001,36.654,A,VI,0.0,"(Id="""")",None,None
116,116.0,Wing,-75.22399999999999,-10.9,K,V,8.0,"(Id="""")",None,None
117,117.0,Genoa,39.025999999999996,-59.756,M,III,9.0,"(Id="""")",None,None
118,118.0,Hamilton (FWL),-35.677,-81.311,K,V,4.0,"(Id="""")",None,None
119,119.0,Konstance,-20.166,96.37100000000001,K,IV,1.0,"(Id="""")",None,None
120,120.0,Quemoy,44.458999999999996,-151.496,K,V,1.0,"(Id="""")",None,None
121,121.0,Ruchbah,57.383,-22.794,F,VI,0.0,"(Id="""")",None,None
122,122.0,Hamal,64.875,-43.47,K,III,2.0,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
123,123.0,Yangtze,75.47,-43.928000000000004,G,V,6.0,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
124,124.0,Waddesdon,99.12799999999999,91.397,F,V,6.0,"(Id="""")",None,None
125,125.0,Algedi,66.07,94.935,A,IV,7.0,"(Id="""")",None,None
126,126.0,Logandale,143.195,-35.976,K,V,7.0,"(Id="""")",None,None
127,127.0,Beten Kaitos,167.162,-112.913,M,V,3.0,"(Id=""MWFactionAsset:RepairSystem_7"")",None,None
128,128.0,Emerson,171.56599999999997,-115.56700000000001,F,V,7.0,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
129,129.0,Dabih,59.968,83.50399999999999,F,IV,0.0,"(Id=""MWFactionAsset:RogueSystems"")",None,None
130,130.0,Kitalpha,112.954,96.428,K,V,9.0,"(Id="""")",None,None
131,131.0,Mariefred,-180.196,25.543000000000003,K,V,3.0,"(Id=""MWFactionAsset:RebeliousLyranTerritory"")",None,None
132,132.0,Ashio,73.565,66.743,G,IV,6.0,"(Id="""")",None,None
133,133.0,Homam,146.299,51.907,G,V,2.0,"(Id=""MWFactionAsset:KuritaDavion"")",None,None
134,134.0,Scheat,168.53099999999998,41.83,G,IV,0.0,"(Id=""MWFactionAsset:KuritaDavion"")",None,None
135,135.0,Tongatapu,-171.248,-141.356,M,V,9.0,"(Id=""MWFactionAsset:RepairSystem_21"")",None,None
136,136.0,Nathan,-67.217,-49.158,M,V,3.0,"(Id="""")",None,None
137,137.0,Remulac,-73.163,-39.335,F,V,8.0,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
138,138.0,Alrakis,-19.908,81.891,K,V,0.0,"(Id="""")",None,None
139,139.0,Halstead Station,78.057,43.443000000000005,M,II,4.0,"(Id="""")",None,None
140,140.0,Royal,222.55900000000003,44.416000000000004,G,V,2.0,"(Id="""")",None,None
141,141.0,Ideyld,-201.408,-97.499,G,V,7.0,"(Id=""MWFactionAsset:RepairSystem_13"")",None,None
142,142.0,Chertan,-74.708,-15.558,A,V,3.0,"(Id="""")",None,None
143,143.0,Alchiba,-67.732,1.767,F,VI,0.0,"(Id="""")",None,None
144,144.0,Alula Australis,-24.309,-4.696000000000001,A,II,7.0,"(Id="""")",None,None
145,145.0,Algol,64.875,-67.773,G,V,5.0,"(Id="""")",None,None
146,146.0,Mara,121.74799999999999,8.743,F,V,4.0,"(Id="""")",None,None
147,147.0,Batavia,201.09900000000002,-55.363,F,V,1.0,"(Id="""")",None,None
148,148.0,Bandora,13.177,-177.36700000000002,F,V,8.0,"(Id="""")",None,None
149,149.0,Kuzuu,23.011,66.624,K,V,6.0,"(Id="""")",None,None
150,150.0,Suzano,15.763,-113.995,F,V,0.0,"(Id="""")",None,None
151,151.0,Masterson,2.76,-185.773,F,V,6.0,"(Id=""MWFactionAsset:RepairSystem_10"")",None,None
152,152.0,Palos,50.695,-124.723,K,VI,7.0,"(Id="""")",None,None
153,153.0,Tikonov,102.838,-42.217,G,V,8.0,"(Id="""")",None,None
154,154.0,Fuentes,-72.905,-145.351,M,V,8.0,"(Id="""")",None,None
155,155.0,Dromini VI,-20.939,66.122,K,IV,8.0,"(Id="""")",None,None
156,156.0,Towne,69.265,7.961,F,IV,8.0,"(Id="""")",None,None
157,157.0,New Hessen,84.005,-57.121,A,V,9.0,"(Id=""MWFactionAsset:RepairSystem_5"")",None,None
158,158.0,Keystone,-125.089,-105.506,F,V,6.0,"(Id="""")",None,None
159,159.0,Nanking,22.741999999999997,-51.745,G,V,1.0,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
160,160.0,Bharat,58.927,-41.666000000000004,F,III,2.0,"(Id="""")",None,None
161,161.0,New Valencia,219.972,-50.015,G,V,4.0,"(Id="""")",None,None
162,162.0,Sarpsborg,-149.67,32.262,F,V,4.0,"(Id="""")",None,None
163,163.0,Alioth,-58.94,13.908,A,V,0.0,"(Id="""")",None,None
164,164.0,Zosma,-50.158,-10.386,A,V,4.0,"(Id="""")",None,None
165,165.0,Slocum,58.153999999999996,-52.26,G,III,7.0,"(Id="""")",None,None
166,166.0,Foochow,88.919,-97.499,F,V,4.0,"(Id="""")",None,None
167,167.0,Chara (Pacifica),-29.214000000000002,6.414,G,V,2.0,"(Id="""")",None,None
168,168.0,Liao (Cynthiana 2202-),34.29,-68.578,K,V,8.0,"(Id="""")",None,None
169,169.0,Murchison,74.697,19.855,G,IV,8.0,"(Id=""MWFactionAsset:RepairSystem_8"")",None,None
170,170.0,Sadachbia,80.598,35.873000000000005,K,V,4.0,"(Id="""")",None,None
171,171.0,Crossing,253.313,47.262,G,V,4.0,"(Id=""MWFactionAsset:DavionKurita_1"")",None,None
172,172.0,Arganda,-154.82399999999998,36.138000000000005,K,V,5.0,"(Id=""MWFactionAsset:RebeliousLyranTerritory"")",None,None
173,173.0,Savannah,-79.626,-46.571999999999996,G,V,7.0,"(Id=""MWFactionAsset:RepairSystem_27"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneSection2/SafezoneCollision/Safezone8_Collision.Safezone8_Collision,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneSection2/Safezone8.Safezone8
174,174.0,Elgin (Chisholm 2878-),1.54,-50.974,G,V,1.0,"(Id="""")",None,None
175,175.0,Addicks,71.439,-0.696,G,V,2.0,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
176,176.0,Algot,85.816,-82.771,G,IV,2.0,"(Id=""MWFactionAsset:RepairSystem_5"")",None,None
177,177.0,Dubhe,-70.57600000000001,-16.073,F,V,0.0,"(Id="""")",None,None
178,178.0,Unukalhai,-46.273,69.75,K,V,2.0,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
179,179.0,Pleione,51.435,-79.668,M,VI,8.0,"(Id="""")",None,None
180,180.0,Shensi,53.763999999999996,-92.524,F,V,6.0,"(Id="""")",None,None
181,181.0,Al Na'ir,60.097,31.239,A,III,9.0,"(Id="""")",None,None
182,182.0,Kurhah,104.163,56.365,F,V,2.0,"(Id="""")",None,None
183,183.0,Mirach,108.822,-26.926,M,V,1.0,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
184,184.0,Drusibacken,-123.305,-123.64399999999999,G,V,4.0,"(Id="""")",None,None
185,185.0,Skye,-57.00899999999999,51.376000000000005,G,V,8.0,"(Id=""MWFactionAsset:AgriculturalBelt"")",/Game/Campaign/CampaignArcs/MetagameObjectives/CampaignClusters/A2M3.A2M3,None
186,186.0,Saiph,4.644,-68.03,K,V,2.0,"(Id=""MWFactionAsset:StoryCluster1"")",None,None
187,187.0,Styk,42.128,-97.499,K,IV,2.0,"(Id="""")",None,None
188,188.0,New Sagan,79.87100000000001,-177.66099999999997,G,V,8.0,"(Id="""")",None,None
189,189.0,Wyatt,-67.26,-8.337,K,V,7.0,"(Id="""")",None,None
190,190.0,Acubens,-52.221000000000004,-50.716,M,V,2.0,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
191,191.0,Berenson,-13.703,-71.133,K,V,0.0,"(Id="""")",None,None
192,192.0,Ingersoll,-5.178999999999999,-172.21,G,V,2.0,"(Id="""")",None,None
193,193.0,Kaus Media,7.746,80.087,K,V,2.0,"(Id=""MWFactionAsset:RogueSystems"")",None,None
194,194.0,Dieron,12.200999999999999,14.909,G,V,3.0,"(Id="""")",None,None
195,195.0,Kestrel,268.309,-46.82899999999999,G,IV,8.0,"(Id=""MWFactionAsset:RepairSystem_3"")",None,None
196,196.0,Fletcher (FWL),-67.732,-209.97299999999998,G,IV,2.0,"(Id=""MWFactionAsset:MarikLiaoBorder"")",None,None
197,197.0,Alphard (FWL),-65.403,-52.005,M,V,9.0,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
198,198.0,Marcus,-58.94,-15.558,G,IV,1.0,"(Id="""")",None,None
199,199.0,Bernardo,-21.206999999999997,-94.595,M,V,4.0,"(Id="""")",None,None
200,200.0,Menkalinan,-0.006,-70.618,G,V,9.0,"(Id="""")",None,None
201,201.0,Aubisson,4.386,146.514,K,V,3.0,"(Id="""")",None,None
202,202.0,Kaus Australis,5.683,83.446999,B,IV,9.0,"(Id=""MWFactionAsset:RogueSystems"")",None,None
203,203.0,Capella,38.133,-172.157,F,III,6.0,"(Id=""MWFactionAsset:TsinghaiCommonality"")",/Game/Campaign/CampaignArcs/Regions/7_2/7_2_Mesh.7_2_Mesh,None
204,204.0,Shitara,41.613,87.12100000000001,K,VI,6.0,"(Id=""MWFactionAsset:RogueSystems"")",None,None
205,205.0,La Blon,-31.803,72.852,G,V,2.0,"(Id="""")",None,None
206,206.0,Zollikofen,-28.959,19.339000000000002,G,V,3.0,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
207,207.0,Miaplacidus,-62.556000000000004,-56.92,K,V,6.0,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
208,208.0,La Grave,-51.18899999999999,247.06799999999998,K,V,2.0,"(Id=""MWFactionAsset:SteinerBorder"")",/Game/Campaign/CampaignArcs/Regions/12_1/12_1.12_1,None
209,209.0,Kurragin,3.3539999999999996,-203.233,M,V,3.0,"(Id=""MWFactionAsset:RepairSystem_10"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneCollision/Safezone_9_Blob.Safezone_9_Blob,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/Safezone_9.Safezone_9
210,210.0,Rio,95.382,-28.74,F,V,8.0,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
211,211.0,Sonnia,123.553,-41.931999999999995,G,V,6.0,"(Id=""MWFactionAsset:ShippingRoute"")",None,None
212,212.0,Goshen,134.673,-94.65299999999999,F,V,3.0,"(Id=""MWFactionAsset:ShippingRoute"")",None,None
213,213.0,Yed Prior,-62.042,124.024,F,III,0.0,"(Id="""")",None,None
214,214.0,Pollux,-31.545,-15.558,G,V,4.0,"(Id="""")",None,None
215,215.0,Accrington,-10.088,144.968,K,V,4.0,"(Id="""")",None,None
216,216.0,Tybalt,89.95100000000001,-20.467,G,V,3.0,"(Id=""MWFactionAsset:DavionBorderlands"")",/Game/Campaign/CampaignArcs/Regions/6_2/6_2_Mesh.6_2_Mesh,None
217,217.0,St. Ives,109.619,-214.37900000000002,G,V,8.0,"(Id="""")",None,None
218,218.0,Asellus Australis,-100.01299999999999,-113.83200000000001,K,V,2.0,"(Id="""")",None,None
219,219.0,Ronel,95.64,-2.635,F,IV,2.0,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
220,220.0,Clovis,180.166,3.056,M,V,5.0,"(Id="""")",None,None
221,221.0,Alhena,-82.471,-14.517999999999999,A,VI,5.0,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
222,222.0,Kochab,-68.245,62.501999999999995,K,IV,4.0,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
223,223.0,Alexandria (LC),-57.638999999999996,115.993,M,V,4.0,"(Id="""")",None,None
224,224.0,Gan Singh,41.613,-79.668,F,VII,5.0,"(Id="""")",None,None
225,225.0,Azha,53.763999999999996,-51.489,K,IV,8.0,"(Id="""")",None,None
226,226.0,Ibstock,-20.985,-101.91,G,V,4.0,"(Id="""")",None,None
227,227.0,Athenry,17.569000000000003,30.974,F,IV,8.0,"(Id="""")",None,None
228,228.0,Tallmadge,276.059,41.83,G,V,0.0,"(Id="""")",None,None
229,229.0,Aur,-146.796005,134.371994,M,V,8.0,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
230,230.0,Zaniah,-102.59700000000001,7.74,A,IV,3.0,"(Id="""")",None,None
231,231.0,Kyrkbacken,3.417,-94.29799999999999,G,V,2.0,"(Id="""")",None,None
232,232.0,Shimonoseki,212.47799999999998,248.364,K,V,8.0,"(Id="""")",None,None
233,233.0,Lucianca,-96.94,163.32299999999998,G,V,9.0,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
234,234.0,Izar,-59.981,97.402,B,VI,5.0,"(Id="""")",None,None
235,235.0,New Wessex,-12.415,113.43,K,IV,2.0,"(Id="""")",None,None
236,236.0,Kaus Borealis,11.373,96.371002,K,IV,1.0,"(Id=""MWFactionAsset:RogueSystems"")",None,None
237,237.0,Cylene,105.978,25.03,F,V,9.0,"(Id="""")",None,None
238,238.0,Tannil,122.00399999999999,57.341,G,V,8.0,"(Id="""")",None,None
239,239.0,Cadiz (TC),328.07599999999996,-424.041,F,V,8.0,"(Id="""")",None,None
240,240.0,Talitha,-34.132,-34.688,G,V,1.0,"(Id="""")",None,None
241,241.0,Hean,74.697,-14.517999999999999,K,V,1.0,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
242,242.0,Marlette,154.576,-44.511,K,V,2.0,"(Id="""")",None,None
243,243.0,Exeter,188.43200000000002,-8.057,A,V,9.0,"(Id=""MWFactionAsset:IndustrialMiningCompany"")",None,None
244,244.0,Futuna,-209.634003,-190.845001,G,V,4.0,"(Id=""MWFactionAsset:FWLCommercialHub"")",None,None
245,245.0,Seginus,-82.36,62.765,A,V,7.0,"(Id="""")",None,None
246,246.0,Sulafat,48.333999999999996,184.257,K,V,2.0,"(Id="""")",None,None
247,247.0,Caselton,115.46700000000001,-32.666,K,IV,2.0,"(Id="""")",None,None
248,248.0,Avellaneda,-57.652,-82.243,K,V,8.0,"(Id="""")",None,None
249,249.0,Chamdo,10.332,-152.286,M,V,8.0,"(Id="""")",None,None
250,250.0,Olancha,167.24099999999999,-6.51,G,V,9.0,"(Id=""MWFactionAsset:KuritaDavion"")",None,None
251,251.0,Kalidasa,-105.76299999999999,-23.051,G,Ia,1.0,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
252,252.0,Morningside,-35.677,167.97299999999998,K,V,7.0,"(Id="""")",None,None
253,253.0,Sian,7.152,-229.662,G,III,0.0,"(Id="""")",None,None
254,254.0,Awano,95.899,160.994,G,V,5.0,"(Id="""")",None,None
255,255.0,Apostica,-59.711999999999996,155.306,F,V,6.0,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
